"IsAttribute","Field","ShortName","Code","Definition","FieldDescription"
0,"FamilyCode",,"(vascular plants)","based on Titus (1980) and Douglas et al. (1998b, 1998c, 1999a, 1999b, 2000, 2001a, 2001b)","code for family of species (or ssp., var., or genus)"
0,"FamilyCode",,"(mosses)","based on Anderson, et al. (1990)","code for family of species (or ssp., var., or genus)"
0,"FamilyCode",,"(hepatics)","based on Stotler and Crandall-Stotler (1977)","code for family of species (or ssp., var., or genus)"
0,"FamilyCode",,"(lichens)","not used",
0,"OldCode",,,"original code from previous list (Titus 1980), the code of the taxon before becoming a synonym, or the same as NewCode",
0,"Code",,,"code for species; includes distinctions between ssp. and var.; synonyms are coded with the code of the valid taxa",
0,"SplCode",,,"code of plants to the species level; no distinction between ssp. or var.",
0,"TreeCode",,,"three character code from the Official B.C. Tree Code List – Version 4, Research Branch, B.C. Ministry of Forests. Victoria. BC",
0,"ScientificName",,"(vascular plants)","based on Titus (1980) (synonym taxa) and Douglas et al. (1998a, 1998b, 1998c, 1999a, 1999b, 2000, 2001a, 2001b, 2002) (native taxa);  additions of taxa were made to be consistent with Cranston et al. (1999)","scientific name of genus, species, subspecies, variety, or family"
0,"ScientificName",,"(mosses)","species list based on Schofield (1992)","scientific name of genus, species, subspecies, variety, or family"
0,"ScientificName",,"(mosses)","subspecies and variety list based on Ireland et al. (1987)","scientific name of genus, species, subspecies, variety, or family"
0,"ScientificName",,"(mosses)","nomenclature and authorities based on Anderson (1990), Anderson et al. (1990) and Flora of North America Association (2001); additions of rare species were made to be consistent with B.C. Provincial Tracking List.","scientific name of genus, species, subspecies, variety, or family"
0,"ScientificName",,"(hepatics)","based on Stotler and Crandall-Stotler (1977)","scientific name of genus, species, subspecies, variety, or family"
0,"ScientificName",,"(lichens)","species list, scientific names and authorities  for foliose, squamulose, and fruticose lichens are based on Goward et al. (1994) and Goward (1999); ","scientific name of genus, species, subspecies, variety, or family"
0,"ScientificName",,"(lichens)","species list for crustose and leprose lichens is based on Goward (1994)","scientific name of genus, species, subspecies, variety, or family"
0,"ScientificName",,"(lichens)","scientific names and authorities for crustose and leprose lichens are based on Esslinger and Egan (1995)","scientific name of genus, species, subspecies, variety, or family"
1,"Lifeform","LForm-0","0","genus-level and mixed; see Mult_life","growth form of the species"
1,"Lifeform","LForm-1","1","coniferous tree","growth form of the species"
1,"Lifeform","LForm-2","2","broad-leaved tree","growth form of the species"
1,"Lifeform","LForm-3","3","evergreen shrub","growth form of the species"
1,"Lifeform","LForm-4","4","deciduous shrub","growth form of the species"
1,"Lifeform","LForm-5","5","fern or fern-ally","growth form of the species"
1,"Lifeform","LForm-6","6","graminoid","growth form of the species"
1,"Lifeform","LForm-7","7","forb","growth form of the species"
1,"Lifeform","LForm-8","8","parasite or saprophyte","growth form of the species"
1,"Lifeform","LForm-9","9","moss","growth form of the species"
1,"Lifeform","LForm-10","10","hepatic","growth form of the species"
1,"Lifeform","LForm-11","11","lichen","growth form of the species"
1,"Lifeform","LForm-12","12","dwarf woody plant","growth form of the species"
1,"Lifeform","LForm-13","13","macro alga","growth form of the species"
1,"Climate","Climat-0","0","not evaluated unknown or variable","climate types"
1,"Climate","Climat-1","1","alpine tundra & boreal","climate types"
1,"Climate","Climat-2","2","subalpine boreal & cool mesothermal","climate types"
1,"Climate","Climat-3","3","montane boreal & cool temperate","climate types"
1,"Climate","Climat-4","4","cool mesothermal","climate types"
1,"Climate","Climat-5","5","cool temperate & cool mesothermal","climate types"
1,"Climate","Climat-6","6","cool temperate & cool semiarid","climate types"
1,"Climate","Climat-7","7","Southern Alpine","climate types"
1,"Climate","Climat-8","8","Northern Alpine ","climate types"
1,"Climate ","Climat-9","9","Coastal Alpine","climate types"
1,"Est_ASMR","SMR-0","0","not evaluated or unknown or variable","actual soil moisture regime"
1,"Est_ASMR","SMR-1","1","Excessively dry to very dry; water deficit occurs > 3 months but < = 5 months","actual soil moisture regime"
1,"Est_ASMR","SMR-2","2","very dry to moderately dry; water deficit occurs > 1.5 months but < = 3 months","actual soil moisture regime"
1,"Est_ASMR","SMR-3","3","moderately dry to fresh; utilization (no water deficit occurs; current need for  water exceeds supply and soil-stored water is used) to water deficit occurs < =1.5  months","actual soil moisture regime"
1,"Est_ASMR","SMR-4","4","fresh to very moist; ground water table > 30 cm deep to utilization","actual soil moisture regime"
1,"Est_ASMR","SMR-5","5","very moist to wet; groundwater table > 0 cm deep but < = 30cm deep","actual soil moisture regime"
