"OriginalName","Field","ShortName","Attribute"
"Climate","Climate","Climat-","Y"
"Est_ASMR","Est_ASMR","SMR-","Y"
"Est_SNR","Est_SNR","SNR-","Y"
"GSM","GSM","GSM-","Y"
"Native","Native","Native-","Y"
"P_Forage","Cow_Forage","Cattl-","Y"
"P_GBearFall","GBearFall","GBerFl-","Y"
"P_GBearSpring","GBearSpring","GBerSp-","Y"
"P_GBearSummer","GBearSummer","GBerSu-","Y"
"P_OrganismHumans","Poison_Humans","PoisnH-","Y"
"P_OrganismLivestock","Poison_Livestock","PoisnL-","Y"
"P_OrganismWildlife","Poison_Wildlife","PoisnW-","Y"
"RedBlueList","RedBlueList","RBList-","Y"
"SCR","SCR","SCR-","Y"
"SRank","SRank","SRank-","Y"
"WeedStatus","WeedStatus","Weed-","Y"
"Wetland_Ind","Wetland_Ind","Wetlnd-","Y"
"Lifeform","Lifeform","LForm-","Y"
