"ListName","ListFilter","ItemOrder","Item","ItemDescription","FieldUsedIn","ValidateLoops","Validate","Note","Flag"
"SiteDisturbance",,9.00,"A.p","atmospheric pollution","SiteDisturbance","3",1,,0
"SiteDisturbance",,10.00,"A.p.ac","acid rain","SiteDisturbance","3",1,,0
"SiteDisturbance",,11.00,"A.p.to","toxic gases","SiteDisturbance","3",1,,0
"SiteDisturbance",,12.00,"A.w","windthrow","SiteDisturbance","3",1,,0
"SiteDisturbance",,13.00,"B","Biotic effects","SiteDisturbance","3",1,,0
"SiteDisturbance",,14.00,"B.b","beaver tree cutting","SiteDisturbance","3",1,,0
"SiteDisturbance",,15.00,"B.d","domestic grazing/browsing","SiteDisturbance","3",1,,0
"SiteDisturbance",,16.00,"B.w","wildlife grazing/browsing","SiteDisturbance","3",1,,0
"SiteDisturbance",,17.00,"B.e","excrement accumulation (other than that normally associated with","SiteDisturbance","3",1,,0
"SiteDisturbance",,18.00,"B.i","insects","SiteDisturbance","3",1,,0
"SiteDisturbance",,19.00,"B.i.ki","insect kill","SiteDisturbance","3",1,,0
"SiteDisturbance",,20.00,"B.i.in","infestation","SiteDisturbance","3",1,,0
"SiteModifier",,17.00,"m","Medium-textured soils","SiteModifier1 & 2",,0,,0
"SiteDisturbance",,21.00,"B.p","disease","SiteDisturbance","3",1,,0
"SiteDisturbance",,22.00,"B.t","turbation (soil)","SiteDisturbance","3",1,,0
"SiteDisturbance",,23.00,"B.v","aggressive vegetation","SiteDisturbance","3",1,,0
"SiteDisturbance",,24.00,"D","Disposals","SiteDisturbance","3",1,,0
"SiteDisturbance",,25.00,"D.c","chemical spill or disposal","SiteDisturbance","3",1,,0
"SiteDisturbance",,26.00,"D.e","effluent disposal","SiteDisturbance","3",1,,0
"SiteDisturbance",,27.00,"D.g","domestic garbage disposal","SiteDisturbance","3",1,,0
"SiteDisturbance",,28.00,"D.o","oil spill or disposal","SiteDisturbance","3",1,,0
"SiteDisturbance",,29.00,"D.r","radioactive waste disposal or exposure","SiteDisturbance","3",1,,0
"SiteDisturbance",,30.00,"F","Fires","SiteDisturbance","3",1,,0
"SiteDisturbance",,31.00,"F.c","overstorey crown fire","SiteDisturbance","3",1,,0
"SiteDisturbance",,32.00,"F.g","light surface (ground) fire","SiteDisturbance","3",1,,0
"SiteDisturbance",,33.00,"F.r","repeated light surface fires","SiteDisturbance","3",1,,0
"SiteDisturbance",,34.00,"F.s","severe surface fire","SiteDisturbance","3",1,,0
"SiteDisturbance",,35.00,"F.i","repeated severe surface fires","SiteDisturbance","3",1,,0
"SiteDisturbance",,36.00,"F.l","burning of logging slash","SiteDisturbance","3",1,,0
"SiteDisturbance",,37.00,"F.l.bb","broadcast burn","SiteDisturbance","3",1,,0
"SiteDisturbance",,38.00,"F.l.pb","piled and burned","SiteDisturbance","3",1,,0
"SiteDisturbance",,39.00,"F.l.wb","burned windrows","SiteDisturbance","3",1,,0
"SiteDisturbance",,40.00,"L","Forest harvesting","SiteDisturbance","3",1,,0
"SiteDisturbance",,41.00,"L.l","land clearing (includes abandoned agriculture)","SiteDisturbance","3",1,,0
"SiteDisturbance",,42.00,"L.a","patch cut system","SiteDisturbance","3",1,,0
"SiteDisturbance",,43.00,"L.a.wr","with reserves","SiteDisturbance","3",1,,0
"SiteDisturbance",,44.00,"L.c","clearcut system (if slashburned, see also ""Fires"")","SiteDisturbance","3",1,,0
"SiteDisturbance",,45.00,"L.c.wr","with reserves (patch retention)","SiteDisturbance","3",1,,0
"SiteDisturbance",,46.00,"L.d","seed tree system","SiteDisturbance","3",1,,0
"SiteDisturbance",,47.00,"L.d.un","uniform","SiteDisturbance","3",1,,0
"SoilTexture",,16.10,"ME","Mesic",,,0,,0
"SoilTexture",,8.10,"HU","Humic",,,0,,0
"SoilTexture",,27.00,"WO","Woody",,,0,,0
"BEC_Use",,1.00,"1","Biodiversity: Intensive plots where full species list has been verified.","BEC_Use",,0,,0
"BEC_Use",,2.00,"2","Classification: Complete list of species but generally without vouchers and likely missing uncommon non-vasculars","BEC_Use",,0,,0
"BEC_Use",,3.00,"3","Support: Species list complete enough for accurate assessment of site units but not complete enough for use in site unit development","BEC_Use",,0,,0
"BEC_Use",,4.00,"4","Insufficient: Plots missing key information that maybe retrievable","BEC_Use",,0,,0
"BEC_Use",,4.10,"4.1","Insufficient: Georeferencing missing or inaccurate","BEC_Use",,0,,0
"BEC_Use",,4.20,"4.2","Insufficient: Unidentified major species","BEC_Use",,0,,0
"BEC_Use",,4.30,"4.3","Insufficient: Lacking environmental information","BEC_Use",,0,,0
"BEC_Use",,5.00,"5","Poor quality: Major species not identified, very limited species lists etc.","BEC_Use",,0,,0
"BEC_Use",,6.00,"6","Visuals: Limited data but georeferenced site unit calls. Should be removed from BECMaster to a locations dataset","BEC_Use",,0,,0
"BEC_Use",,7.00,"7","Remove: Plots are substandard and of limited value","BEC_Use",,0,,0
"MineralSoilTexture",,0.00,,"Null","RootZoneTexture",,0,,0
"MineralSoilTexture",,1.00,"Sndy","Sandy","RootZoneTexture",,0,,0
"MineralSoilTexture",,2.00,"Lmy","Loamy","RootZoneTexture",,0,,0
