"Lifeform","LifeformTXT","Definition","Comments","ShortName","Vascular"
0,"00","genus-level and mixed","see Mult_life","0Genus",1
1,"01","coniferous tree","use family names to assign lifeform","1Conifer",1
2,"02","broad-leaved tree","use family names to assign lifeform","2Decid",1
3,"03","evergreen shrub","use family names to assign lifeform","3Evergrn",1
4,"04","deciduous shrub","use family names to assign lifeform","4Shrub",1
5,"05","fern or fern-ally","use family names to assign lifeform","5Ferns",1
6,"06","graminoid","ok","6Grasses",1
7,"07","forb","everything 'forb' but not fern","7Forb",1
8,"08","parasite or saprophyte","use genera to assign lifeform","8Sapro",0
9,"09","moss","everything 'moss' but not liverwort","9Mosses",0
10,"10","hepatic","M code + ""liverwort"" common name, may also have to use family name","10Hepati",0
11,"11","lichen","ok","11Lichen",0
12,"12","dwarf woody plant","can only use names on BC list","12Shrub",1
13,"13","macro alga","not in use in AB list","13Algae",0
