"PlotNumber","Horizon","UpperDepth","LowerDepth","HumusStructureDegree","HumusStructureKind","MycelAbundance","FecalAbundance","RootsAbundance","RootsSize","vonPost","HumusFormpH","Consistence","Character","Fauna","Comment","Flag","ID"
"9624781","L",41.00,40.00,,,,,,,,,,,,,0,1063617212
"8229723","L",72.00,70.00,,"SP",,,"X",,,,,,,,0,1095620810
"9611967","F",18.00,10.00,,,,,"A","M",,,,,,"roots on high ground",0,1134224614
"108050","H",5.00,0.00,"W","SP","C","X","P","V",4,6.50,,,,"Comments",0,1148081077
"8229723","Oh",50.00,0.00,,,,,"P","C",,,,,,,0,1304919898
"961167","Hr",1.00,0.00,,,,,,,,,,,,,0,1350757786
"8529649","Faq",8.00,10.00,"M","NM",,,"F","V",,,,,,"13-10YR2/3",0,1371251314
"8529676","Faq",5.00,0.00,"W","NM",,,"P","M",,,,,,"13-10YR3/4",0,1436658893
"8428970","Fq",6.00,0.00,"S","NM",,,"F","F",,,,,,"12-2.5YR2.5/2  white molds, no mycelium",0,1476178844
"8428963","H",5.00,0.00,"S","CM",,,"A","C",,,,,,"12-7.5YR2/0",0,1560186294
"R0126","H",1.00,0.00,,,,,"A",,,,,,,"Structure:  f; Root size:  FMC",0,1707210272
"9624804","Hh",2.50,0.00,,"GR",,,"P","C/F",,,,,,"dark",0,1750360166
"8529675","Hd",10.00,0.00,"M","GR",,,"P","M",,,,,,,0,1829154938
"8229723","H",60.00,50.00,,,,,"A","C",,,,,,,0,1876493583
"8630146","L",19.50,16.00,"W","RC",,,,,,,,,,,0,2058133168
"8428963","Fq1",5.00,11.00,"S","CM",,,,,,,,,,,0,2075171068
"R0126","F",25.00,1.00,,,,,"A",,,,,,,"Structure:  felty; Root size:  FMC; top is thick loose moss",0,2121611467
"QCIL6","Hc-in",15.00,0.00,,,,,,,,,,,,"or Ahe",0,2136081223
"Cb13011","L",10.00,8.00,,,,,"A/a","V/f",,,,,,,0,-147110803
"Cb13011","Hh",8.00,0.00,,,,,"A/p","V/f",,,,,,"Some minor loess incorporated",0,1864693034
"8428935","Hydric",9.00,11.00,"W","NM","C","C","A","K",10,,,,,,0,-2050564394
"8529649","Hda",2.00,0.00,"M","GR",,,"P","M",,,,,,"13-10YR2/1",0,-2050007363
"9611965","LFH",20.00,,,,,,,,,,,,,,0,-2049873623
"8630146","Fq",3.20,16.00,"S","NM",,,"A","V",,,,,,,0,-1920377299
"8529675","Faqx",20.00,10.00,"M","NM",,,"A","M",,,,,,"13-10YR2/2",0,-1884418908
"QCIQ10","Hc",10.00,0.00,,,,,,,,,,,,,0,-1871515350
"8529670","Faq1",28.00,24.00,"S","ER",,,"c","F",,,,,,"14-7.5YR3/2",0,-1784726295
"9611967","H",10.00,0.00,,,,,"A","M",,,,,,"mucky and wet in hollows",0,-1752384692
"8529415","Hd",36.00,0.00,"S","MA",,,"F","C",,,,,,,0,-1705458625
"9624781","Fz",40.00,38.00,,"GR",,,,,,,,,,,0,-1613139548
"8428942","Fq",18.00,10.00,"W","CM",,,"A","C",,,,,,,0,-1473817752
"8529415","Fq",42.00,36.00,"S","CM",,,"A","C",,,,,,,0,-1352881783
"8428935","Fa",9.00,7.00,"M","SP",,,"P","F",,,,,,,0,-1192564806
"8630146","H",3.20,0.00,"W","MA",,,"A","M",,,,,,,0,-1130258652
"8428975","Fq",2.00,0.00,"S","NM",,,,,,,,,,,0,-1104937040
"961167","L",2.50,2.00,,,,,,,,,,,,,0,-1011956820
"8529649","L/S",12.00,10.00,,"SP",,,,,,,,,,"14-green",0,-877313340
"QCIQ14","Hr",,,,,,,,,,,,,,,0,-759032346
"QCIL6","Hr",20.00,15.00,,,,,,,,,,,,,0,-654491761
"961167","Fa",2.00,1.00,,,,,,,,,,,,,0,-640687655
"QCIQ14","Hc2",3.00,0.00,,,,,,,,,,,,,0,-589321771
"9624804","L",9.00,11.00,,,,,,,,,,,,,0,-511504069
"8229723","F",70.00,60.00,,,,,"A","M",,,,,,,0,-437239512
"9003104","Lf",15.00,12.00,,,,,,,,,,,,,0,-376155920
"8529676","L/S",8.00,5.00,,"SP",,,,,,,,,,"14-green",0,-253788144
"8428935","H",7.00,0.00,"M","GR",,,"A","C",,,,,,,0,-197025971
"9003104","F",12.00,0.00,,,,,,,,,,,,,0,10205141
"8428942","L/S",20.00,18.00,,,,,,,,,,,,,0,28462813
"8428935","L/S",12.00,11.00,,,,,,,,,,,,,0,87234472
"8529670","Hd",18.00,0.00,"M","BL",,,"A","V",,,,,,"13-10YR2/1",0,160828160
"8529649","Fa",8.00,2.00,"M","NM",,,"A","M",,,,,,"13-10YR2/2",0,337170872
"9624804","Fz",9.00,2.50,,"RC",,,"P","C/F",,,,,,"DARK",0,349244967
"8529670","Faq2",24.00,18.00,"M","NM",,,"A","C",,,,,,"13-10YR2/2",0,376400926
"8428970","L/S",8.00,6.00,,,,,,,,,,,,,0,408365322
"9624781","Hh",38.00,0.00,,"GR",,,,,,,,,,"DARK LIKE Ah",0,409947657
"8529415","Lo",44.00,42.00,"M","RC",,,"c","M",,,,,,,0,587950132
"8529675","Faq",22.00,20.00,"M","NM",,,"F","F",,,,,,"14-10YR3/4",0,603913000
"QCIL6","S",,,,,,,,,,,,,,,0,662520541
