"PlotNumber","SiteUnit1","SiteUnit2","Change","PlantAssoc1","PlantAssoc2","AssocChange"
"108050","MH  whp  /01","MH  whp  /01","SAME",,,
"108050x","MH  whp  /01","MH  whp  /01","SAME",,,
"1976021","BWBSmw 2 /05-Acho","BWBSmw 2 /05-Acho","SAME",,,
"1976022","BWBSmw 2 /05","BWBSmw 2 /05","SAME",,,
"1976025","BWBSmw 2 /05","BWBSmw 2 /05","SAME",,,
"1976039","BWBSmw 2 /05","BWBSmw 2 /05","SAME",,,
"1976071","BWBSmw 2 /05","BWBSmw 2 /05","SAME",,,
"1976072","BWBSmw 2 /05","BWBSmw 2 /05","SAME",,,
"1976075","BWBSmw 2 /05","BWBSmw 2 /05","SAME",,,
"1976080","BWBSmw 2 /05","BWBSmw 2 /05","SAME",,,
"202050","MH  whp  /01","MH  whp  /01","SAME",,,
"406250","BWBSdk 1 /09","BWBSdk 1 /09","SAME",,,
"412150","BWBSdk 2 /06","BWBSdk 2 /06","SAME",,,
"412250","BWBSdk 2 /06","BWBSdk 2 /06","SAME",,,
"412350","BWBSdk 2 /06","BWBSdk 2 /06","SAME",,,
"412450","BWBSdk 2 /06","BWBSdk 2 /06","SAME",,,
"5760454","BWBSwk 1 /06","BWBSwk 1 /06","SAME",,,
"5760463","BWBSwk 1 /06","BWBSwk 1 /06","SAME",,,
"5760808","BWBSwk 1 /06","BWBSwk 1 /06","SAME",,,
"579279","MH  whp  /01","MH  whp  /01","SAME",,,
"8229723","BWBSdk 1 /08","BWBSdk 1 /08","SAME",,,
"8428935","BWBSwk 2 /06","BWBSwk 2 /06","SAME",,,
"8428942","BWBSwk 2 /06","BWBSwk 2 /06","SAME",,,
"8428963","BWBSwk 2 /06","BWBSwk 2 /06","SAME",,,
"8428970","BWBSwk 2 /06","BWBSwk 2 /06","SAME",,,
"8428975","BWBSwk 2 /06","BWBSwk 2 /06","SAME",,,
"8529415","BWBSwk 1 /06","BWBSwk 1 /06","SAME",,,
"8529649","BWBSwk 2 /06","BWBSwk 2 /06","SAME",,,
"8529670","BWBSwk 2 /06","BWBSwk 2 /06","SAME",,,
"8529675","BWBSwk 2 /06","BWBSwk 2 /06","SAME",,,
"8529676","BWBSwk 2 /06","BWBSwk 2 /06","SAME",,,
"8630146","BWBSmw 2 /05","BWBSmw 2 /05","SAME",,,
"9003002","SBS mk   /Fh1","SBS mk   /Fh1","SAME",,,
"9003043","SBS mk   /Fh1","SBS mk   /Fh1","SAME",,,
"9003104","SBS mk   /Fh1","SBS mk   /Fh1","SAME",,,
"961167","SBS mk   /Fh1","SBS mk   /Fh1","SAME",,,
"9611965","SBS dk   /Fh1","SBS dk   /Fh1","SAME",,,
"9611967","SBS dk   /Fh1","SBS dk   /Fh1","SAME",,,
"9624781","SBS dk   /Fh1","SBS dk   /Fh1","SAME",,,
"9624804","SBS mk   /Fh1","SBS mk   /Fh1","SAME",,,
"Cb13011","SBS mk   /Fh1","SBS mk   /Fh1","SAME",,,
"HLB056","MH  whp  /02","MH  whp  /02","SAME",,,
"L153","BWBSdk 2 /06","BWBSdk 2 /06","SAME",,,
"L185","BWBSdk 2 /06","BWBSdk 2 /06","SAME",,,
"MAHA05","MH  whp  /02","MH  whp  /02","SAME",,,
"QCIL6","MH  whp  /01","MH  whp  /01","SAME",,,
"QCIQ10","MH  whp  /01","MH  whp  /01","SAME",,,
"QCIQ14","MH  whp  /01","MH  whp  /01","SAME",,,
"R0126","BWBSmw 2 /05","BWBSmw 2 /05","SAME",,,
"R3027","BWBSdk 1 /08",,"REMOVED",,,
"R3039","BWBSdk 1 /08","BWBSdk 1 /09","CHANGED",,,
