"ID","Report","Attribute","ShortName"
-2101904081,0,"Climate","Climat-"
-1357294037,0,"Native","Native-"
-972352659,0,"Poison_Livestock","PoisnL-"
-503760834,0,"GBearSpring","GBerSp-"
-86599961,0,"GBearSummer","GBerSu-"
-46893999,0,"GBearFall","GBerFl-"
32717667,0,"RedBlueList","RBList-"
104378070,0,"WeedStatus","Weed-"
148660840,0,"SCR","SCR-"
210435999,0,"Wetland_Ind","Wetlnd-"
244220661,0,"Est_SNR","SNR-"
556186697,0,"SRank","SRank-"
584567028,0,"Lifeform","LForm-"
1034311722,0,"Poison_Wildlife","PoisnW-"
1291133714,0,"GSM","GSM-"
1510740124,0,"Poison_Humans","PoisnH-"
1970879300,0,"Est_ASMR","SMR-"
2124334992,0,"Cow_Forage","Cattl-"
