"LumpCode","SppCode","ScientificName","ColourCode","PatternCode","FontColour","Use"
"Group10","POPUBAL","Populus balsamifera",3,-4128,2,1
"Group07",,,,,,0
"Group01","ABIEAMA","Abies amabilis",38,1,-4105,1
"Group01","ABIECON","Abies concolor",38,1,-4105,1
"Group01","ABIEGRA","Abies grandis",38,1,-4105,1
"Group01","ABIELAS","Abies lasiocarpa",38,1,-4105,1
"Group01","ABIEPRO","Abies procera",38,1,-4105,1
"Group01","ABIES","Abies sp.",38,1,-4105,1
"Group01","ABIEABI","Abietinella abietina",38,1,-4105,1
"Group01","ABIEBAL","Abies balsamea",38,1,-4105,1
"Group01","ABIEMAG1","Abies magnifica var. shastensis",38,1,-4105,1
"Group10","POPUBAL1","Populus balsamifera ssp. balsamifera",3,-4128,2,1
"Group10","POPUBAL2","Populus balsamifera ssp. trichocarpa",3,-4128,2,1
"Group10","POPUDEL","Populus deltoides",3,-4128,2,1
"Group10","POPUDEL1","Populus deltoides ssp. deltoides",3,-4128,2,1
"Group10","POPUDEL2","Populus deltoides ssp. monilifera",3,-4128,2,1
"Group10","POPULUS","Populus sp.",3,-4128,2,1
"Group10","POPUTRE","Populus tremuloides",3,-4128,2,1
"Group10","POPULX","Populus sp. x Populus sp.",3,-4128,2,1
"Group09",,,,,,0
"Group04",,,,,,0
"Group03",,,,,,0
"Group02",,,,,,0
"Group06",,,,,,0
"Group08",,,,,,0
"Group05",,,,,,0
