scenario	covers
source_hash_before	01481B94569C7172F32A812E65365F78CEA5E440DD63220D91A37DADE5778423
source_hash_after	01481B94569C7172F32A812E65365F78CEA5E440DD63220D91A37DADE5778423
initial_copy_hash	01481B94569C7172F32A812E65365F78CEA5E440DD63220D91A37DADE5778423
module_hash_before	D6EB938872691EE2FCC08551CC80E024B4AAAE716146DBA63CA611B7F4B6266A
module_hash_after	D6EB938872691EE2FCC08551CC80E024B4AAAE716146DBA63CA611B7F4B6266A
backend_hash_after	2F66F80CACD1336F6E02230BC33BA83A017705619F081330C85D9C1AEBFC384C
Setup	scenario	covers
Setup	plot	00337
Setup	backend	C:\Users\sshadmin\AppData\Local\Temp\vpro-succession-copy-covers-20260922-204949-930\OracleProject.accdb
Setup	active	Oracle
Before	row	900001;ZORAA;2020;15;22;31;<NULL>;<NULL>;<NULL>
Before	row	900002;ZORBB;2020;<NULL>;18;4;<NULL>;<NULL>;<NULL>
Before	row	900003;ZORCC;2020;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
Before	audit_rows	14
Call	returned	True
Call	captured_error	
After	row	900001;ZORAA;2020;15;22;31;<NULL>;<NULL>;<NULL>
After	row	900002;ZORBB;2020;<NULL>;18;4;<NULL>;<NULL>;<NULL>
After	row	900003;ZORCC;2020;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
After	row	1486696555;ZORAA;2021;0;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
After	row	283223248;ZORBB;2021;<NULL>;0;<NULL>;<NULL>;<NULL>;<NULL>
After	row	-709044079;ZORCC;2021;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
After	audit_rows	14
