scenario	duplicate-after
source_hash_before	01481B94569C7172F32A812E65365F78CEA5E440DD63220D91A37DADE5778423
source_hash_after	01481B94569C7172F32A812E65365F78CEA5E440DD63220D91A37DADE5778423
initial_copy_hash	01481B94569C7172F32A812E65365F78CEA5E440DD63220D91A37DADE5778423
module_hash_before	D6EB938872691EE2FCC08551CC80E024B4AAAE716146DBA63CA611B7F4B6266A
module_hash_after	D6EB938872691EE2FCC08551CC80E024B4AAAE716146DBA63CA611B7F4B6266A
backend_hash_after	06A10D9B45C8552E6FD052C4BFD8ED413889A05F99BEBF2D4E4467D55D7D0373
Setup	scenario	duplicate-after
Setup	plot	00337
Setup	backend	C:\Users\sshadmin\AppData\Local\Temp\vpro-succession-copy-duplicate-after-20260922-205107-890\OracleProject.accdb
Setup	active	Oracle
Before	row	900002;ZORAA;2020;15;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
Before	row	900001;ZORBB;2020;12;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
Before	row	900003;ZORCC;2020;9;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
Before	row	900004;ZORAA;2021;33;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
Before	audit_rows	14
Call	returned	True
Call	captured_error	
After	row	900002;ZORAA;2020;15;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
After	row	900001;ZORBB;2020;12;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
After	row	900003;ZORCC;2020;9;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
After	row	900004;ZORAA;2021;33;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
After	row	1845455686;ZORBB;2021;0;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
After	audit_rows	14
