scenario	duplicate
source_hash_before	01481B94569C7172F32A812E65365F78CEA5E440DD63220D91A37DADE5778423
source_hash_after	01481B94569C7172F32A812E65365F78CEA5E440DD63220D91A37DADE5778423
initial_copy_hash	01481B94569C7172F32A812E65365F78CEA5E440DD63220D91A37DADE5778423
module_hash_before	D6EB938872691EE2FCC08551CC80E024B4AAAE716146DBA63CA611B7F4B6266A
module_hash_after	D6EB938872691EE2FCC08551CC80E024B4AAAE716146DBA63CA611B7F4B6266A
backend_hash_after	DD7AE2FDF1491F43F9651B1FE21D962731B05301355E78022F0D57F7E21C24AA
Setup	scenario	duplicate
Setup	plot	00337
Setup	backend	C:\Users\sshadmin\AppData\Local\Temp\vpro-succession-copy-duplicate-20260922-204959-371\OracleProject.accdb
Setup	active	Oracle
Before	row	900001;ZORAA;2020;15;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
Before	row	900002;ZORBB;2020;12;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
Before	row	900003;ZORAA;2021;33;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
Before	audit_rows	14
Call	returned	True
Call	captured_error	
After	row	900001;ZORAA;2020;15;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
After	row	900002;ZORBB;2020;12;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
After	row	900003;ZORAA;2021;33;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
After	audit_rows	14
