scenario	missing
source_hash_before	01481B94569C7172F32A812E65365F78CEA5E440DD63220D91A37DADE5778423
source_hash_after	01481B94569C7172F32A812E65365F78CEA5E440DD63220D91A37DADE5778423
initial_copy_hash	01481B94569C7172F32A812E65365F78CEA5E440DD63220D91A37DADE5778423
module_hash_before	D6EB938872691EE2FCC08551CC80E024B4AAAE716146DBA63CA611B7F4B6266A
module_hash_after	D6EB938872691EE2FCC08551CC80E024B4AAAE716146DBA63CA611B7F4B6266A
backend_hash_after	1F2C3A49395F91E78E6C1017EF16DBBA3E3F01A13022471BF929499BDEB5EE4E
Setup	scenario	missing
Setup	plot	00337
Setup	backend	C:\Users\sshadmin\AppData\Local\Temp\vpro-succession-copy-missing-20260922-205018-228\OracleProject.accdb
Setup	active	Oracle
Before	row	900001;ZORAA;2020;15;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
Before	audit_rows	14
Call	returned	False
Call	captured_error	No source records
After	row	900001;ZORAA;2020;15;<NULL>;<NULL>;<NULL>;<NULL>;<NULL>
After	audit_rows	14
