"action","com_or_shell","control","declaration_kind","dynamic_sql","empty","error_suppression","expected_handler","family","filesystem","id","line_end","line_start","name","path","registry","run_code","source_object","type","visibility","domain","classification","status","target_id","notes"
"AddMenu",,,,,,,,"Macros",,"macro::MyAddScMenu::4",4,4,"AddMenu","Macros/MyAddScMenu.txt",,"","MyAddScMenu","macro_action",,"general","automation","unmapped","","initial deterministic inventory"
"Echo",,,,,,,,"Macros",,"macro::AutoKeys::10",10,10,"Echo","Macros/AutoKeys.txt",,"","AutoKeys","macro_action",,"general","automation","unmapped","","initial deterministic inventory"
"Hourglass",,,,,,,,"Macros",,"macro::AutoKeys::16",16,16,"Hourglass","Macros/AutoKeys.txt",,"","AutoKeys","macro_action",,"general","automation","unmapped","","initial deterministic inventory"
"Hourglass",,,,,,,,"Macros",,"macro::MyScMenu::14",14,14,"Hourglass","Macros/MyScMenu.txt",,"","MyScMenu","macro_action",,"general","automation","unmapped","","initial deterministic inventory"
"Hourglass",,,,,,,,"Macros",,"macro::MyScMenu::5",5,5,"Hourglass","Macros/MyScMenu.txt",,"","MyScMenu","macro_action",,"general","automation","unmapped","","initial deterministic inventory"
"MsgBox",,,,,,,,"Macros",,"macro::MyScMenu::19",19,19,"MsgBox","Macros/MyScMenu.txt",,"","MyScMenu","macro_action",,"general","automation","unmapped","","initial deterministic inventory"
"RunCode",,,,,,,,"Macros",,"macro::AutoKeys::28",28,28,"RunCode","Macros/AutoKeys.txt",,"HtmlHelp","AutoKeys","macro_action",,"general","automation","unmapped","","initial deterministic inventory"
"RunCode",,,,,,,,"Macros",,"macro::AutoKeys::34",34,34,"RunCode","Macros/AutoKeys.txt",,"TestKeys","AutoKeys","macro_action",,"general","automation","unmapped","","initial deterministic inventory"
"RunCode",,,,,,,,"Macros",,"macro::AutoKeys::39",39,39,"RunCode","Macros/AutoKeys.txt",,"HideDbWindow","AutoKeys","macro_action",,"general","automation","unmapped","","initial deterministic inventory"
"RunCode",,,,,,,,"Macros",,"macro::AutoKeys::45",45,45,"RunCode","Macros/AutoKeys.txt",,"ViewCurrentSuList","AutoKeys","macro_action",,"general","automation","unmapped","","initial deterministic inventory"
"RunCode",,,,,,,,"Macros",,"macro::AutoKeys::5",5,5,"RunCode","Macros/AutoKeys.txt",,"GetSpecies","AutoKeys","macro_action",,"general","automation","unmapped","","initial deterministic inventory"
"SetWarnings",,,,,,,,"Macros",,"macro::AutoKeys::22",22,22,"SetWarnings","Macros/AutoKeys.txt",,"","AutoKeys","macro_action",,"general","automation","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::frmComparePlotClassification::BuildPickList",679,665,"BuildPickList","Forms/frmComparePlotClassification.txt",0,,"frmComparePlotClassification","procedure","private","general","ui","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::frmConvertVP04toVP05::BuildProjectPickList",1185,1162,"BuildProjectPickList","Forms/frmConvertVP04toVP05.txt",0,,"frmConvertVP04toVP05","procedure","private","general","ui","candidate","r_function::R/00.db.R::BuildProjectPickList","exact symbol match; manual review required"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::frmConvertVP04toVP05::GetRemoteDb",1160,1149,"GetRemoteDb","Forms/frmConvertVP04toVP05.txt",0,,"frmConvertVP04toVP05","procedure","private","general","ui","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::frmRunOnce::NeverRanBefore",1081,1072,"NeverRanBefore","Forms/frmRunOnce.txt",1,,"frmRunOnce","procedure","private","general","ui","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::USysAssignSU::CallAddSUsAndPlotsOnly_Click",5171,5167,"CallAddSUsAndPlotsOnly_Click","Forms/USysAssignSU.txt",0,,"USysAssignSU","procedure","public","survey","ui","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::USysAssignSU::GetLevel",5166,5154,"GetLevel","Forms/USysAssignSU.txt",0,,"USysAssignSU","procedure","public","general","ui","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::USysAssignSU::NamingError",6175,6170,"NamingError","Forms/USysAssignSU.txt",0,,"USysAssignSU","procedure","private","general","ui","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::USysBecLabels::RoundItUp",792,780,"RoundItUp","Forms/USysBecLabels.txt",0,,"USysBecLabels","procedure","private","general","ui","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::USysComboLumpMaster::LoadLumpTree",1533,1531,"LoadLumpTree","Forms/USysComboLumpMaster.txt",0,,"USysComboLumpMaster","procedure","public","general","ui","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::USysExportTo-Env::LatLongVal",316,300,"LatLongVal","Forms/USysExportTo-Env.txt",0,,"USysExportTo-Env","procedure","private","general","ui","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::USysLumpMaster::LoadLumpTree",1802,1800,"LoadLumpTree","Forms/USysLumpMaster.txt",0,,"USysLumpMaster","procedure","public","general","ui","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::USysLumpMaster::SetAllLumpsToNo",2086,2078,"SetAllLumpsToNo","Forms/USysLumpMaster.txt",0,,"USysLumpMaster","procedure","public","general","ui","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Forms",0,"procedure::USysLumpMaster::SetAllLumpsToYes",2077,2069,"SetAllLumpsToYes","Forms/USysLumpMaster.txt",0,,"USysLumpMaster","procedure","public","general","ui","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Modules",0,"procedure::clsFormInfo::SaveFormloc",45,37,"SaveFormloc","Modules/clsFormInfo.txt",1,,"clsFormInfo","procedure","public","general","business_logic","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Modules",0,"procedure::clsFormInfo::SetFormloc",35,28,"SetFormloc","Modules/clsFormInfo.txt",0,,"clsFormInfo","procedure","public","general","business_logic","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Modules",0,"procedure::clsPicture::nPictures",40,31,"nPictures","Modules/clsPicture.txt",0,,"clsPicture","procedure","public","general","business_logic","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Modules",0,"procedure::clsStopWatch::EndTimer",17,15,"EndTimer","Modules/clsStopWatch.txt",0,,"clsStopWatch","procedure","public","general","business_logic","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Modules",0,"procedure::Module2::SanitizeFileName",170,162,"SanitizeFileName","Modules/Module2.txt",0,,"Module2","procedure","private","general","business_logic","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Modules",0,"procedure::rkArrays::TransposeDim",119,101,"TransposeDim","Modules/rkArrays.txt",0,,"rkArrays","procedure","private","general","business_logic","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Modules",0,"procedure::rkmdl02::FindParentID",38,23,"FindParentID","Modules/rkmdl02.txt",0,,"rkmdl02","procedure","private","general","business_logic","unmapped","","initial deterministic inventory"
,0,,"function",0,FALSE,0,,"Modules",0,"procedure::V7mdlAPICalls::GetDefPrinter",26,11,"GetDefPrinter","Modules/V7mdlAPICalls.txt",0,,"V7mdlAPICalls","procedure","public","reporting","business_logic","unmapped","","initial deterministic inventory"
