"normalized_code","Code","ScientificName","Lifeform","EnglishName","Codetype","source_provenance","sample_veg_usage_count","status","reviewer","review_date","rationale"
"ANEMRIC","ANEMRIC","Anemonastrum richardsonii",7,"yellow anemone","U","VLists.db::USysAllSpecs",2,"pending","","",""
"ANEMRIC","ANEMRIC","Anemone richardsonii",7,"yellow anemone","XX","VLists.db::USysAllSpecs",2,"pending","","",""
"ARTELUD2","ARTELUD2","Artemisia ludoviciana ssp. incompta",7,,"X","VLists.db::USysAllSpecs",0,"pending","","",""
"ARTELUD2","ARTELUD2","Artemisia ludoviciana var. incompta",7,"silver wormwood","X","VLists.db::USysAllSpecs",0,"pending","","",""
"ARTHMAC","ARTHMAC","Arthonia macounii",15,,"U","VLists.db::USysAllSpecs",0,"pending","","",""
"ARTHMAC","ARTHMAC","Arthothelium macounii",15,,"XX","VLists.db::USysAllSpecs",0,"pending","","",""
"ASPIMYR","ASPIMYR","Aspicilia myrinii",15,,"XX","VLists.db::USysAllSpecs",0,"pending","","",""
"ASPIMYR","ASPIMYR","Aspilidea myrinii",15,,"U","VLists.db::USysAllSpecs",0,"pending","","",""
"ATRIALA","ATRIALA","Atriplex alaskensis",7,"Alaskan orache","X","VLists.db::USysAllSpecs",0,"pending","","",""
"ATRIALA","ATRIALA","Atriplex patula ssp. alaskensis",7,,"X","VLists.db::USysAllSpecs",0,"pending","","",""
"ATRIALA","ATRIALA","Atriplex patula var. alaskensis",7,,"X","VLists.db::USysAllSpecs",0,"pending","","",""
"BRYOTRI2","BRYOTRI2","Alectoria canadensis",11,,"X","VLists.db::USysAllSpecs",0,"pending","","",""
"BRYOTRI2","BRYOTRI2","Bryoria trichodes ssp. trichodes",11,"inelegant horsehair lichen","X","VLists.db::USysAllSpecs",0,"pending","","",""
"BUPLAME","BUPLAME","Bupleurum americanum",7,"American thorough-wax","X","VLists.db::USysAllSpecs",0,"pending","","",""
"BUPLAME","BUPLAME","Bupleurum triradiatum ssp. arcticum",7,,"X","VLists.db::USysAllSpecs",0,"pending","","",""
"CAMPCHR","CAMPCHR","Campyliadelphus chrysophyllus",9,,"XX","VLists.db::USysAllSpecs",0,"pending","","",""
