"ID","SiteSeries","SiteSeriesLongName","SiteSeriesScientificName","Level"
-2145930365,"IDF dk 5 /111","Sxw – Dogwood – Horsetail","Picea engelmannii x glauca – Cornus sericea – Equisetum arvense",11
-2141767852,"CWH vh 3 /Wf51","Sitka sedge – Peat moss","Carex sitchensis – Sphagnum spp.",11
-2139273003,"MH  mm 1 /03","BaHm – Oak fern","Abies amabilis – Tsuga mertensiana – Gymnocarpium dryopteris",11
-2137191826,"ESSFdc 2 /05","Bl – Huckleberry – Feathermoss","Abies lasiocarpa – Vaccinium membranaceum – Pleurozium schreberi",11
-2136098127,"BG  xh 3 /Gs05","Rocky Mountain juniper – Big sagebrush – Bluebunch wheatgrass","Juniperus scopulorum – Artemisia tridentata ssp. tridentata – Pseudoroegneria spicata",11
-2135231925,"CWH vh 1 /15","Ss – Kindbergia","Picea sitchensis – Eurhynchium oreganum",11
-2135095738,"CWH xm 2 /05","Cw – Sword fern","Thuja plicata – Polystichum munitum",11
-2134489677,"ESSFwh 2 /Rt07","Aspen – Juniper – Rocktripe","Populus tremuloides – Juniperus communis –  Umbilicaria sp.",11
-2133906258,"MS  dm 2 /Wf11","Tufted clubrush – Star moss","Trichophorum cespitosum – Campylium stellatum",11
-2133627238,"ESSFwcw  /Vh02.1","Valerian – Hellebore – Fireweed","Valeriana sitchensis – Veratrum viride – Chamerion angustifolium",11
-2133585462,"ICH mw 5 /Ws04","Drummond's willow – Beaked sedge","Salix drummondiana – Carex utriculata",11
-2132993125,"ICH vk 2 /07","Sb – Sphagnum","Picea mariana – Sphagnum spp.",11
-2132024003,"ICH wk 1 /Wm09","Inflated sedge","Carex exsiccata",11
-2131859866,"ICH mw 2 /103","Fd – Douglas maple – Falsebox","Pseudotsuga menziesii – Acer glabrum – Paxistima myrsinites",11
-2131523364,"CWH ms 1 /10","Pl – Sphagnum","Pinus contorta – Sphagnum spp.",11
-2130385276,"CWH ws 2 /Wb13","Shore sedge – Buckbean – Peat moss","Carex limosa – Menyanthes trifoliata – Sphagnum spp.",11
-2130268950,"ESSFwh 2 /Vs03","Sitka alder – Hellebore","Alnus viridis ssp. sinuata – Veratrum viride",11
-2128752644,"ICH wk 1 /02","PlHw – Velvet-leaved blueberry","Pinus contorta – Tsuga heterophylla – Vaccinium myrtilloides",11
-2126385455,"CWH wh 1 /Wb53.2","Shore pine – Yellow-cedar – Tufted clubrush; tall shrub variation","Pinus contorta var. contorta – Chamaecyparis nootkatensis – Trichophorum cespitosum",11
-2125668292,"SBS vk   /Ws06","Sitka willow – Sitka sedge","Salix sitchensis – Carex sitchensis",11
-2125462686,"ESSFwh 3 /Vh01","Cow-parsnip – Fireweed – Nettle","Heracleum maximum – Chamerion angustifolium – Urtica dioica",11
-2121300639,"ICH vc   /04","Sx – Devil's club – Dogwood","Picea sp. x Picea sp. – Oplopanax horridus – Cornus sericea",11
-2119100041,"ESSFwm 2 /Vs03","Sitka alder – Hellebore","Alnus viridis ssp. sinuata – Veratrum viride",11
-2118786685,"MS  dv   /05","Pl – Soopolallie – Heron's-bill","Pinus contorta – Shepherdia canadensis – Dicranum spp.",11
-2118245300,"ESSFwh 1 /Vs04","Sitka alder – Devil's club – Oak fern","Alnus viridis ssp. sinuata – Oplopanax horridus – Gymnocarpium dryopteris",11
-2118036352,"CWH ms 2 /11","CwSs – Skunk cabbage","Thuja plicata – Picea sitchensis – Lysichiton americanus",11
-2116723713,"ESSFwm 1 /Ro10","Huckleberry – Rock moss – Haircap moss","Vaccinium membranaceum – Racomitrium spp. – Polytrichum sp.",11
-2115914926,"ESSFdkw  /Ro10","Huckleberry – Rock moss – Haircap moss","Vaccinium membranaceum – Racomitrium spp. – Polytrichum sp.",11
-2115021283,"ICH mw 2 /Vh01.1","Cow-parsnip – Fireweed – Nettle","Heracleum maximum – Chamerion angustifolium – Urtica dioica",11
-2114153921,"SBS mc 2 /09","Sxw – Devil's club","Picea engelmannii x glauca – Oplopanax horridus",11
-2113540728,"CWH wh 1 /111a","CwSs – Foamflower; Colluvial/morainal phase","Thuja plicata – Picea sitchensis – Tiarella trifoliata",11
-2113259864,"IDF dk 3 /Wf05","Slender sedge – Common hook moss","Carex lasiocarpa – Drepanocladus aduncus",11
-2112111024,"ICH wk 2 /07","CwHw – Devil's club – Lady fern","Thuja plicata – Tsuga heterophylla – Oplopanax horridus",11
-2111686915,"ICH dw 4 /Wm15","Bluejoint – Water sedge","Calamagrostis canadensis – Carex aquatilis",11
-2111501728,"ESSFdk 1 /Wf11","Tufted clubrush – Star-moss","Trichophorum cespitosum – Campylium stellatum",11
-2110557748,"ESSFwk 1 /Wf01","Water sedge – Beaked sedge","Carex aquatilis – Carex utriculata",11
-2108558483,"ESSFwh 1 /Rt07.1","Aspen – Juniper – Rocktripe","Populus tremuloides – Juniperus communis –  Umbilicaria sp.",11
-2107491210,"ESSFxv 2 /10","Se – Willow – Glow moss","Picea engelmannii – Salix spp. – Aulacomnium palustre",11
-2103702221,"IDF dk 2 /06","Sxw – Horsetail","Picea engelmannii x glauca – Equisetum arvense",11
-2102264031,"ESSFdcw  /Vh11","Fireweed – Yarrow – Strawberry","Chamerion angustifolium – Achillea millefolium – Fragaria virginiana",11
-2101676897,"ICH mk 4 /Vs10","Willow – Cow-parsnip – Fireweed","Salix sp. – Heracleum maximum – Chamerion angustifolium",11
-2101265309,"MS  dw   /Ro01.1","Selaginella – Bluebunch wheatgrass – Sidewalk moss","Selaginella densa – Pseudoroegneria spicata – Tortula ruralis",11
-2098744512,"SBS wk 3 /02","Pl – Huckleberry – Cladina","Pinus contorta – Vaccinium membranaceum – Cladina spp.",11
-2098725576,"SBS mc 2 /Wf02","Scrub birch – Water sedge","Betula nana – Carex aquatilis",11
-2098443402,"MS  dv   /08","Sxw – Soopolallie – Scouring-rush","Picea engelmannii x glauca – Shepherdia canadensis – Equisetum hyemale",11
-2095581906,"ICH wk 3 /11","Sb – Buckbean – Peat moss","Picea mariana – Menyanthes trifoliata – Sphagnum spp.",11
-2094664371,"MH  mm 1 /Wf51","Sitka sedge – Peat moss","Carex sitchensis – Sphagnum spp.",11
-2090786613,"ICH dw 4 /Fm02","Cottonwood – Spruce – Dogwood","Populus balsamifera – Picea sp. – Alnus incana – Cornus sericea",11
-2089553380,"CWH dm   /14","Cw – Black twinberry","Thuja plicata – Lonicera involucrata",11
-2086795331,"ESSFxc   /Wf09","Few-flowered spike-rush – Hook moss","Eleocharis quinqueflora – Drepanocladus spp.",11
-2086692919,"CWH ds 1 /03","FdHw – Falsebox","Pseudotsuga menziesii – Tsuga heterophylla – Paxistima myrsinites",11
-2085204415,"CWH vh 3 /105","HwSs – Lanky moss  ","Tsuga heterophylla – Picea sitchensis – Rhytidiadelphus loreus",11
-2084170824,"BWBSdk   /Ws15","SwSb – Labrador tea – Glow moss","Picea glauca – Picea mariana – Rhododendron groenlandicum – Aulacomnium palustre",11
-2083466738,"ICH dh   /103","Pl(Lw) – Pinegrass – Grouseberry","Pinus contorta – Larix occidentalis – Calamagrostis rubescens – Vaccinium scoparium",11
-2082918204,"SBS mc 2 /Wf09","Few-flowered spike-rush – Hook moss","Eleocharis quinqueflora – Drepanocladus spp.",11
-2082427812,"ESSFmv 3 /04","Bl – Oak fern – Knight's plume","Abies lasiocarpa – Gymnocarpium dryopteris – Ptilium crista-castrensis",11
-2081504025,"ICH dh   /Rt01","Rocktripe – Green map","Umbilicaria sp. – Rhizocarpon geographicum",11
-2081262586,"CWH vh 3 /110b","CwSs – Foamflower; Alluvial fan phase","Thuja plicata – Picea sitchensis – Tiarella trifoliata",11
-2079893573,"SBS wk 1 /11","SbSxw – Scrub birch – Sedge","Picea mariana – Picea engelmannii x glauca – Betula nana – Carex spp.",11
