"SiteSeries_ID","SSCode","BGCName","BEC_Region","BGC_Zone","SubzVarPh","BGC_Subzone","BGC_Variant","BGC_Phase","SiteSeries","SSPhase","SSVariation","Seral","SiteSeriesDescription","PlantAssociation","Comments","Ref_ID","AddedDate","ExpiredDate","O_SS_ID","MergedBGC_SS","BECSuballiance","BECAlliance","MissingNpeNa","TransferID","Flag"
64.00,"07","ESSFxv 1","CAR","ESSF","xv1","xv","1","","07","","","","Bl - Valerian - Arnica","","",14.00,10/11/2000 0:00:00,,64.00,"ESSFxv 1 /07","Abielas-Valesit-Arnicor","Abielas-Valesit","npe",,0
65.00,"08","ESSFxv 1","CAR","ESSF","xv1","xv","1","","08","","","","Bl - Horsetail - Glow moss","","",14.00,10/11/2000 0:00:00,,65.00,"ESSFxv 1 /08","Abielas-Equiset","Abielas-Equiset","npe",,0
66.00,"09","ESSFxv 1","CAR","ESSF","xv1","xv","1","","09","","","","Bl - Twinberry - Hellebore","","",14.00,10/11/2000 0:00:00,,66.00,"ESSFxv 1 /09","Abielas-Valesit-Arnicor","Abielas-Valesit","npe",,0
67.00,"01","ICH dk","CAR","ICH","dk","dk","","","01","","","","CwSxw - Falsebox - Wintergreen","","",14.00,10/11/2000 0:00:00,,67.00,"ICH dk   /01","","Thujpli-Piceene-Paximyr","",,0
68.00,"02","ICH dk","CAR","ICH","dk","dk","","","02","","","","CwSxw - Soopolallie","","",14.00,10/11/2000 0:00:00,,68.00,"ICH dk   /02","","","NA",,0
69.00,"02a","ICH dk","CAR","ICH","dk","dk","","","02","a","","","CwSxw - Soopolallie, Typic","","",14.00,10/11/2000 0:00:00,,69.00,"ICH dk   /02a","","Thujpli-Piceene-Paximyr","",,0
70.00,"02b","ICH dk","CAR","ICH","dk","dk","","","02","b","","","CwSxw - Soopolallie, Shallow","","",14.00,10/11/2000 0:00:00,,70.00,"ICH dk   /02b","","Thujpli-Piceene-Paximyr","",,0
71.00,"03","ICH dk","CAR","ICH","dk","dk","","","03","","","","CwSxw - Falsebox - Soopolallie","","",14.00,10/11/2000 0:00:00,,71.00,"ICH dk   /03","Piceene-Thujpli","Piceene-Vaccmem","",,0
72.00,"04","ICH dk","CAR","ICH","dk","dk","","","04","","","","CwSxw - Falsebox - Feathermoss","","",14.00,10/11/2000 0:00:00,,72.00,"ICH dk   /04","","Thujpli-Piceene-Paximyr","",,0
73.00,"05","ICH dk","CAR","ICH","dk","dk","","","05","","","","CwSxw - Thimbleberry","","",14.00,10/11/2000 0:00:00,,73.00,"ICH dk   /05","Thujpli-Piceene-Abielas-Paximyr","Thujpli-Piceene-Rubupar","",,0
74.00,"06","ICH dk","CAR","ICH","dk","dk","","","06","","","","CwSxw - Raspberry - Oak fern","","",14.00,10/11/2000 0:00:00,,74.00,"ICH dk   /06","","Thujpli-Piceene-Gymndry","",,0
75.00,"07","ICH dk","CAR","ICH","dk","dk","","","07","","","","Sxw - Twinberry - Oak fern","","",14.00,10/11/2000 0:00:00,,75.00,"ICH dk   /07","Piceene-Gymndry","Piceene-Gymndry","",,0
