"Zone","SubZone","ZoneDescription","SubZoneVarDescription"
"AT","un","Alpine Tundra","Undifferentiated"
"AT","unp","Alpine Tundra","Undifferentiated and Parkland"
"BAFA","un","Boreal Altai Fescue Alpine","Undifferentiated"
"BAFA","unp","Boreal Altai Fescue Alpine","Undifferentiated and Parkland"
"BG","un","Bunchgrass","Undifferentiated"
"BG","xh1","Bunchgrass","Okanagan Very Dry Hot"
"BG","xh2","Bunchgrass","Thompson Very Dry Hot"
"BG","xh3","Bunchgrass","Fraser Very Dry Hot"
"BG","xw1","Bunchgrass","Nicola Very Dry Warm"
"BG","xw2","Bunchgrass","Alkali Very Dry Warm"
"BWBS","dk","Boreal White and Black Spruce","Dry Cool"
"BWBS","dk1","Boreal White and Black Spruce","Stikine Dry Cool"
"BWBS","dk2","Boreal White and Black Spruce","Liard Dry Cool"
"BWBS","mk","Boreal White and Black Spruce","Moist Cool"
"BWBS","mw","Boreal White and Black Spruce","Moist Warm"
"BWBS","mw1","Boreal White and Black Spruce","Peace Moist Warm"
"BWBS","mw2","Boreal White and Black Spruce","Fort Nelson Moist Warm"
"BWBS","un","Boreal White and Black Spruce","Undifferentiated"
"BWBS","vk","Boreal White and Black Spruce","Very Wet Cool"
"BWBS","wk1","Boreal White and Black Spruce","Murray Wet Cool"
"BWBS","wk2","Boreal White and Black Spruce","Graham Wet Cool"
"BWBS","wk3","Boreal White and Black Spruce","Kledo Wet Cool"
"CDF","mm","Coastal Douglas-fir","Moist Maritime"
"CDF","un","Coastal Douglas-fir","Undifferentiated"
"CMA","un","Coastal Mountain-heather Alpine","Undifferentiated"
"CMA","unp","Coastal Mountain-heather Alpine","Undifferentiated and Parkland"
"CWH","dm","Coastal Western Hemlock","Dry Maritime"
"CWH","ds1","Coastal Western Hemlock","Southern Dry Submaritime"
"CWH","ds2","Coastal Western Hemlock","Central Dry Submaritime"
"CWH","mm1","Coastal Western Hemlock","Submontane Moist Maritime"
"CWH","mm2","Coastal Western Hemlock","Montane Moist Maritime"
"CWH","ms1","Coastal Western Hemlock","Southern Moist Submaritime"
"CWH","ms2","Coastal Western Hemlock","Central Moist Submaritime"
"CWH","un","Coastal Western Hemlock","Undifferentiated"
"CWH","vh1","Coastal Western Hemlock","Southern Very Wet Hypermaritime"
"CWH","vh2","Coastal Western Hemlock","Central Very Wet Hypermaritime"
"CWH","vm","Coastal Western Hemlock","Very Wet Maritime"
"CWH","vm1","Coastal Western Hemlock","Submontane Very Wet Maritime"
"CWH","vm2","Coastal Western Hemlock","Montane Very Wet Maritime"
"CWH","vm3","Coastal Western Hemlock","Central Very Wet Maritime"
"CWH","wh1","Coastal Western Hemlock","Submontane Wet Hypermaritime"
"CWH","wh2","Coastal Western Hemlock","Montane Wet Hypermaritime"
"CWH","wm","Coastal Western Hemlock","Wet Maritime"
"CWH","ws1","Coastal Western Hemlock","Submontane Wet Submaritime"
"CWH","ws2","Coastal Western Hemlock","Montane Wet Submaritime"
"CWH","xm","Coastal Western Hemlock","Very Dry Maritime"
"CWH","xm1","Coastal Western Hemlock","Eastern Very Dry Maritime"
"CWH","xm2","Coastal Western Hemlock","Western Very Dry Maritime"
"ESSF","dc1","Engelmann Spruce -- Subalpine Fir","Okanagan Dry Cold"
"ESSF","dc2","Engelmann Spruce -- Subalpine Fir","Cascade Dry Cold"
"ESSF","dc3","Engelmann Spruce -- Subalpine Fir","North Thompson Dry Cold"
"ESSF","dcp","Engelmann Spruce -- Subalpine Fir","Dry Cold Parkland"
"ESSF","dcp1","Engelmann Spruce -- Subalpine Fir","Okanagan Dry Cold Parkland"
"ESSF","dcp2","Engelmann Spruce -- Subalpine Fir","Thompson Dry Cold Parkland"
"ESSF","dcw","Engelmann Spruce -- Subalpine Fir","Dry Cold Woodland"
"ESSF","dk","Engelmann Spruce -- Subalpine Fir","Dry Cool"
"ESSF","dk1","Engelmann Spruce -- Subalpine Fir","Elk Dry Cool"
"ESSF","dk2","Engelmann Spruce -- Subalpine Fir","Columbia Dry Cool"
"ESSF","dkp","Engelmann Spruce -- Subalpine Fir","Dry Cool Parkland"
"ESSF","dku","Engelmann Spruce -- Subalpine Fir","Dry Cool Woodland and Parkland"
"ESSF","dkw","Engelmann Spruce -- Subalpine Fir","Dry Cool Woodland"
"ESSF","dm","Engelmann Spruce -- Subalpine Fir","Dry Mild"
"ESSF","dm1","Engelmann Spruce -- Subalpine Fir","Southeast Kootenay Dry Mild"
"ESSF","dmp","Engelmann Spruce -- Subalpine Fir","Dry Mild Parkland"
"ESSF","dmw","Engelmann Spruce -- Subalpine Fir","Dry Mild Woodland"
"ESSF","dv","Engelmann Spruce -- Subalpine Fir","Dry Very Cold"
"ESSF","dv d","Engelmann Spruce -- Subalpine Fir","Dry Very Cold - Dry phase"
"ESSF","dv1","Engelmann Spruce -- Subalpine Fir","Cayoosh Dry Very Cold"
"ESSF","dv2","Engelmann Spruce -- Subalpine Fir","Tyaughton Dry Very Cold"
"ESSF","dvp","Engelmann Spruce -- Subalpine Fir","Dry Very Cold Parkland"
"ESSF","dvw","Engelmann Spruce -- Subalpine Fir","Dry Very Cold Woodland"
"ESSF","mc","Engelmann Spruce -- Subalpine Fir","Moist Cold"
"ESSF","mcp","Engelmann Spruce -- Subalpine Fir","Moist Cold Parkland"
"ESSF","mk","Engelmann Spruce -- Subalpine Fir","Moist Cool"
"ESSF","mkp","Engelmann Spruce -- Subalpine Fir","Moist Cool Parkland"
"ESSF","mm1","Engelmann Spruce -- Subalpine Fir","Raush Moist Mild"
"ESSF","mm2","Engelmann Spruce -- Subalpine Fir","Robson Moist Mild"
"ESSF","mmp","Engelmann Spruce -- Subalpine Fir","Moist Mild Parkland"
"ESSF","mmp1","Engelmann Spruce -- Subalpine Fir","Raush Moist Mild Parkland"
"ESSF","mmp2","Engelmann Spruce -- Subalpine Fir","Robson Moist Mild Parkland"
"ESSF","mmw","Engelmann Spruce -- Subalpine Fir","Moist Mild Woodland"
"ESSF","mv1","Engelmann Spruce -- Subalpine Fir","Nechako Moist Very Cold"
"ESSF","mv2","Engelmann Spruce -- Subalpine Fir","Bullmoose Moist Very Cold"
"ESSF","mv3","Engelmann Spruce -- Subalpine Fir","Omineca Moist Very Cold"
"ESSF","mv4","Engelmann Spruce -- Subalpine Fir","Graham Moist Very Cold"
"ESSF","mvp","Engelmann Spruce -- Subalpine Fir","Moist Very Cold Parkland"
"ESSF","mvp1","Engelmann Spruce -- Subalpine Fir","Nechako Moist Very Cold Parkland"
"ESSF","mvp2","Engelmann Spruce -- Subalpine Fir","Bullmoose Moist Very Cold Parkland"
"ESSF","mvp3","Engelmann Spruce -- Subalpine Fir","Omineca Moist Very Cold Parkland"
