"Project","User","PlotNumber","Table","EditField","EditWhen","BeforeEdit","AfterEdit","Restore","Flag","ID"
"Sample","puket",,"On",,6/12/2022 13:00:23,,,0,0,
"Sample","puket","406250","_Mineral","UpperDepth",6/15/2022 7:36:00,"0","3",0,0,-739035421
"Sample","puket","108050","_Mineral","LowerDepth",6/15/2022 7:36:32,"8","9",0,0,1012379914
"Sample","puket","108050","_Mineral","UpperDepth",6/15/2022 7:36:41,"8","14",0,0,-2127813489
"Sample","puket","108050","_Mineral","LowerDepth",6/15/2022 7:36:41,"14","8",0,0,-2127813489
"Sample","puket","108050","_Mineral","UpperDepth",6/15/2022 7:37:12,"14","9",0,0,-2127813489
"Sample","puket","108050","_Mineral","LowerDepth",6/15/2022 7:37:12,"8","14",0,0,-2127813489
"Sample","puket","108050","_Env","Check369",6/15/2022 7:38:47,,,0,0,
"Sample","puket","108050","_Env","Check371",6/15/2022 7:38:47,,,0,0,
"Sample","puket","108050","_Env","Check373",6/15/2022 7:38:47,,,0,0,
"Sample","puket","108050","Unknown","UpperDepth",6/15/2022 7:39:03,"9","14",0,0,-2127813489
"Sample","puket","108050","Unknown","LowerDepth",6/15/2022 7:39:03,"14","9",0,0,-2127813489
"Sample","puket","108050","Unknown","UpperDepth",6/15/2022 7:39:19,"14","9",0,0,-2127813489
"Sample","puket","108050","Unknown","LowerDepth",6/15/2022 7:39:19,"9","14",0,0,-2127813489
"Sample","puket","108050","_Env","Check369",6/15/2022 7:43:26,,,0,0,
"Sample","puket","108050","_Env","Check371",6/15/2022 7:43:26,,,0,0,
"Sample","puket","108050","_Env","Check373",6/15/2022 7:43:26,,,0,0,
"Sample","puket","108050","_Env","Check235",6/15/2022 7:43:26,,,0,0,
"Sample","puket","108050","_Env","Check237",6/15/2022 7:43:26,,,0,0,
"Sample","puket","108050","_Env","Check300",6/15/2022 7:43:26,,,0,0,
"Sample","puket","108050","_Env","Check550",6/15/2022 7:43:26,,,0,0,
"Sample","puket","108050","_Env","Check552",6/15/2022 7:43:26,,,0,0,
"Sample","puket","108050","_Env","Check302",6/15/2022 7:43:26,,,0,0,
"Sample","puket",,"Off",,6/16/2022 6:37:51,,,0,0,
"Sample","puket",,"On",,6/16/2022 20:22:57,,,0,0,
"Sample","puket",,"Off",,6/16/2022 20:23:51,,,0,0,
"Sample","puket",,"On",,6/16/2022 20:24:13,,,0,0,
"Sample","puket",,"Close",,6/17/2022 7:09:31,,,0,0,
"Sample","puket",,"Open",,6/17/2022 9:18:28,,,0,0,
"Sample","puket",,"Close",,6/17/2022 9:19:29,,,0,0,
"Sample","puket",,"Open",,6/17/2022 9:21:45,,,0,0,
"Sample","puket",,"Off",,6/17/2022 9:22:00,,,0,0,
"Sample","puket",,"On",,7/2/2022 12:38:28,,,0,0,
"Sample","puket",,"Off",,7/2/2022 12:39:55,,,0,0,
"Sample","puket",,"On",,7/2/2022 12:42:47,,,0,0,
"Sample","puket",,"_Env","Check369",7/2/2022 12:44:24,,,0,0,
"Sample","puket",,"_Env","Check371",7/2/2022 12:44:24,,,0,0,
"Sample","puket",,"_Env","Check373",7/2/2022 12:44:24,,,0,0,
"Sample","puket",,"Close",,7/2/2022 12:44:45,,,0,0,
"Sample","puket",,"Open",,7/5/2022 6:31:35,,,0,0,
"Sample","puket",,"Off",,7/5/2022 6:55:35,,,0,0,
"Sample","puket",,"On",,7/6/2022 8:08:41,,,0,0,
"Sample","puket",,"Off",,7/6/2022 8:10:03,,,0,0,
"Sample","puket",,"On",,7/6/2022 8:52:19,,,0,0,
"Sample","puket",,"Off",,7/6/2022 15:06:07,,,0,0,
"Sample","puket",,"On",,7/7/2022 14:03:43,,,0,0,
"Sample","puket",,"Close",,7/7/2022 14:03:49,,,0,0,
"Sample","puket",,"Open",,7/7/2022 14:06:11,,,0,0,
"Sample","puket",,"Close",,7/7/2022 14:06:23,,,0,0,
"Sample","puket",,"Open",,7/7/2022 14:24:15,,,0,0,
"Sample","puket",,"Close",,7/7/2022 14:24:37,,,0,0,
"Sample","puket",,"Open",,7/7/2022 14:25:08,,,0,0,
"Sample","puket",,"Off",,7/7/2022 14:25:32,,,0,0,
"Sample","puket","00337","_Env","Check369",10/31/2021 8:34:24,,,0,0,
"Sample","puket","00337","_Env","Check371",10/31/2021 8:34:24,,,0,0,
"Sample","puket","00337","_Env","Check373",10/31/2021 8:34:24,,,0,0,
