"PlotNumber","FieldNumber","ProjectID","FSRegionDistrict","Date","SiteSurveyor","PlotRepresenting","Location","Ecosection","NtsMapSheet",Longitude,Latitude,"UTMZone","UTMEasting","UTMNorthing","LocationAccuracy","AirPhotoNum","XCoord","YCoord","Zone","SubZone","SiteSeries","SiteModifier1","SiteModifier2","TransDistrib","RealmClass","MapUnit","SnowCoverregime","MoistureRegime","NutrientRegime","SuccessionalStatus","StructuralStage","StructuralStageMod","StandAge","Elevation","SlopeGradient","Aspect","MesoSlopePosition","SurfaceShape","SurfaceTopographyType","SurfaceTopographySize","WaterSource","Photo","Exposure1","Exposure2","SiteDisturbance1","SiteDisturbance2","SiteDisturbance3","SubstrateDecWood","SubstrateBedRock","SubstrateRocks","SubstrateMineralSoil","SubstrateOrganicMatter","SubstrateWater","SiteNotes","SoilSurveyor","BedrockGeology1","BedrockGeology2","BedrockGeology3","CoarseFragLith1","CoarseFragLith2","CoarseFragLith3","TerrainTextureSurf","SurficialMaterialSurf","SurfaceExpSurf","GeoMorProSurf","TerrainTextureSubSurf","SurficialMaterialSubSurf","SurfaceExpSubSurf","GeoMorProSubSurf","FloodingRegimeFreq","MoistureRegimeSub","FloodingRegimeDur","SoilDrainage","SeepageDepth","RootRestrictingType","RootRestrictingDepth","RootZoneParticleSize","RootingDepth","SoilClassSubGroup","SoilClassGroup","HumusForm","HumusFormPhase","pHMethodCodeMineral","pHMethodCodeOrganic","SoilNotes","VegSurveyor","StrataCoverTree","StrataCoverShrub","StrataCoverHerb","StrataCoverMoss","VegNotes","HydroGeoSystem","HydroGeoSubSystem","SpeciesListComplete","Temporary","Flag","SV_PolygonNumber","SV_FloodPlain","SV_StandAgeEstMeas","SV_StandHeight","SV_StandHeightEstMeas","SV_CanopyComposition","SV_SoilDepth","SV_RootZoneTexture","SV_PercentCoarseFrags","SV_GleyingMottlingCM","SV_WaterTableCM","SV_FullCruiseCard","SV_AhorizonType","SV_AhorizonDepth","ActiveLayerDepth"
"00337","14","hju","RCO.DNI",12/30/1899 0:00:00,,"stuff",,,,123.629028320313,58.1234550476074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"szg",,"jks",,,,,,,,,,,,,,,"CA","DBC","LR","cl",,,"This is a note reminding me to pick up milk after work.",,,,,,,"F","cb",0,,0,,1,"0",,"0",,5.00,"5",5.00,5.00,5.00,,"a",5.00,5.00
"108050","x-31-b2","DEIF1980","RCO.DSQ",7/5/1982 0:00:00,"Russell Klassen","HmYc - Mountain Heather (plots are Mhwhp)","Buxton Mt, Calvert Is.","HEL","92M-12",132.00830078125,59.2099990844727,"10",100000.0,2.0e+06,10,"15xc",100.00,200.00,"MH","un","02","h","t","7","Wm","MU15","B","3","C","YS","2d",,115,1050,65.00,285,"LW","CC","mnd","sl","P","Yes, 3","NA","WI","W","Bb","Bi.ki",1.00,30.00,0.00,5.00,64.00,0.00,"Upper elev MHc - park land.  Snow left in 2 weeks - mounth ago - still patches Ba, Cr fairly abundant but no Hw; Good forest development on south and east facing slopes but Krummholtz or tundra on north and west facing slopes","Test people","rh","pu","do","ba","gy","tv","a","FG","j","J","d","LG","m","A","A",,"S","m",10,"L",18,"CLS",18,"R","G","L","ca",,,"At the upper limit of the MH zone for Clavert Island although Ba still present.","Will MacKenzie",55.00,32.00,91.00,72.00,"Grass is greener on the other side!","E","ls",1,,0,"Poly Cracker",1,"1",11.00,"2","at3/pl6/sx1",11.00,"Slty",50.00,4.00,3.00,"Site Index Plot","Ah",33.00,
"108050x",,"BEC","RCO.DSC",7/5/1982 0:00:00,"Russell Klassen","HmYc - Mountain Heather (plots are Mhwhp)","Buxton Mt, Calvert Is.","HEL","92M-12",131.00830078125,56.2999992370606,"10",100000.0,2.0e+06,,"15xc",100.00,200.00,"MH","mm2e","02",,,"7","Ww",,,,"C","MCC","1c",,,1050,65.00,285,"UP","CC","mnd","sl","P","Yes, 3","SA","NA","Ls.gr","Bb","Bi.ki",1.00,30.00,0.00,5.00,64.00,0.00,"Upper elev MHc - park land.  Snow left in 2 weeks - mounth ago - still patches Ba, Cr fairly abundant but no Hw; Good forest development on south and east facing slopes but Krummholtz or tundra on north and west facing slopes","Test people","rh","pu","do","ba","gy","tv","a","FG","j","J","d","LG","m","A","A",,"B","m",10,"L",18,"CLS",18,"R","HFP","UR","ca",,,"At the upper limit of the MH zone for Clavert Island although Ba still present",,55.00,32.00,91.00,72.00,,"E","ls",0,,0,,0,,,,,,,,,,,"No",,
"1976021",,"BEC",,,"Russell","Sw - Currant - Horsetail",,,,124.420997619629,55.1805572509766,,,,,,,,"BWBS","mw2","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ak","am",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.40,38.10,99.00,63.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"1976022",,"BEC",,7/5/1982 0:00:00,,"Sw - Currant - Horsetail",,,,,,,,,,,,,"BWBS","mw2","05",,,,,,,,,,"6",,,,,,,,,,,,,,,,,,,,,,,"Maybe a wet site in the Spring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.70,43.10,66.40,83.20,,,,0,,0,,0,,,,,,,,,,,"No",,
"1976025",,"CFEC",,,,"Sw - Currant - Horsetail",,,,128.5,55.0122985839844,,,,,,,,"BWBS","mw2","05",,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,"Maybe a wet site in the Fall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00,36.30,92.50,51.00,,,,0,,0,,0,"1",,"2",,,,,,,,"No",,
"1976039",,"BEC",,,,"Sw - Currant - Horsetail",,,,,,,,,,,,,"BWBS","mw2","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.00,35.60,99.00,56.90,,,,0,,0,,0,,,,,,,,,,,"No",,
"1976071",,"BEC",,,,"Sw - Currant - Horsetail",,,,,,,,,,,,,"BWBS","mw2","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R","HB",,,,,,,28.00,65.60,99.00,22.60,,,,0,,0,,0,,,,,,,,,,,"No",,
"1976072",,"BEC",,11/26/2014 0:00:00,,"Sw - Currant - Horsetail",,,,,,,,,,,,,"BWBS","mw2","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,30.70,88.20,23.00,,,,1,,0,,0,,,,,,,,,,"1","No",,
"1976075","15","BEC","RCO.DCR",1/6/2020 0:00:00,"Me","Sw - Currant - Horsetail","Here",,"100",128.199996948242,55.5,"9",,,10,"123",456.00,789.00,"BWBS","mw2","05",,,,"Ag","000","B","2","C","MS","1c",,34,555,20.00,359,"LV","CC","phi","md",,,"CA","NA","A.e.sn","A.e.sn","A.e.sn",,,,,,,,,"ar","bs",,,,,"e","C","b","I","g","FG","m","L",,,,"m",12,"P",100,,9,,,"MR",,,,,,24.00,62.90,99.00,4.00,"notes",,,1,,0,"200",1,"1",8.00,"2","pl",10.00,"CL",24.00,10.00,,,"Ah",10.00,
