"PlotNumber","SiteUnit"
"108050","MH  whp  /01"
"108050x","MH  whp  /01"
"1976021","BWBSmw 2 /05-Acho"
"1976022","BWBSmw 2 /05"
"1976025","BWBSmw 2 /05"
"1976039","BWBSmw 2 /05"
"1976071","BWBSmw 2 /05"
"1976072","BWBSmw 2 /05"
"1976075","BWBSmw 2 /05"
"1976080","BWBSmw 2 /05"
"202050","MH  whp  /01"
"406250","BWBSdk 1 /09"
"412150","BWBSdk 2 /06"
"412250","BWBSdk 2 /06"
"412350","BWBSdk 2 /06"
"412450","BWBSdk 2 /06"
"5760454","BWBSwk 1 /06"
"5760463","BWBSwk 1 /06"
"5760808","BWBSwk 1 /06"
"579279","MH  whp  /01"
"8229723","BWBSdk 1 /08"
"8428935","BWBSwk 2 /06"
"8428942","BWBSwk 2 /06"
"8428963","BWBSwk 2 /06"
"8428970","BWBSwk 2 /06"
"8428975","BWBSwk 2 /06"
"8529415","BWBSwk 1 /06"
"8529649","BWBSwk 2 /06"
"8529670","BWBSwk 2 /06"
"8529675","BWBSwk 2 /06"
"8529676","BWBSwk 2 /06"
"8630146","BWBSmw 2 /05"
"9003002","SBS mk   /Fh1"
"9003043","SBS mk   /Fh1"
"9003104","SBS mk   /Fh1"
"961167","SBS mk   /Fh1"
"9611965","SBS dk   /Fh1"
"9611967","SBS dk   /Fh1"
"9624781","SBS dk   /Fh1"
"9624804","SBS mk   /Fh1"
"Cb13011","SBS mk   /Fh1"
"HLB056","MH  whp  /02"
"L153","BWBSdk 2 /06"
"L185","BWBSdk 2 /06"
"MAHA05","MH  whp  /02"
"QCIL6","MH  whp  /01"
"QCIQ10","MH  whp  /01"
"QCIQ14","MH  whp  /01"
"R0126","BWBSmw 2 /05"
"R3027","BWBSdk 1 /08"
"R3039","BWBSdk 1 /08"
