"LumpCode","SppCode","ScientificName","ColourCode","PatternCode","FontColour","Use"
"Group10","POPUBAL","Populus balsamifera",3,-4128,2,1
"Group07",,,,,,0
"Group01","ABIEAMA","Abies amabilis",38,1,1,1
"Group01","ABIECON","Abies concolor",38,1,1,1
"Group01","ABIEGRA","Abies grandis",38,1,1,1
"Group01","ABIELAS","Abies lasiocarpa",38,1,1,1
"Group01","ABIEPRO","Abies procera",38,1,1,1
"Group01","ABIES","Abies sp.",38,1,1,1
"Group01","ABIEABI","Abietinella abietina",38,1,1,1
"Group01","ABIEBAL","Abies balsamea",38,1,1,1
"Group01","ABIEMAG1","Abies magnifica var. shastensis",38,1,1,1
"Group10","POPUBAL1","Populus balsamifera ssp. balsamifera",3,-4128,2,1
"Group10","POPUBAL2","Populus balsamifera ssp. trichocarpa",3,-4128,2,1
"Group10","POPUDEL","Populus deltoides",3,-4128,2,1
"Group10","POPUTRE","Populus tremuloides",3,-4128,2,1
"Group10","POPULX","Populus sp. x Populus sp.",3,-4128,2,1
"Group09",,,,,,0
"Group04",,,,,,0
"Group02","PICEENE","Picea engelmannii x glauca",22,14,1,1
"Group06",,,,,,0
"Group08","PINUALB","Pinus albicaulis",50,-4166,2,1
"Group05",,,,,,0
"Group03","CLADGRA","Cladonia gracilis",35,1,1,1
"Group02","PICEGLA","Picea glauca",22,14,1,1
"Group08","PINUBAN","Pinus banksiana",50,-4166,2,1
"Group08","PINUCON","Pinus contorta",50,-4166,2,1
"Group08","PINUCON1","Pinus contorta var. contorta",50,-4166,2,1
"Group08","PINUCON2","Pinus contorta var. latifolia",50,-4166,2,1
"Group08","PINUFLE","Pinus flexilis",50,-4166,2,1
"Group08","PINULAM","Pinus lambertiana",50,-4166,2,1
"Group08","PINUMON","Pinus monticola",50,-4166,2,1
"Group08","PINUPON","Pinus ponderosa",50,-4166,2,1
"Group08","PINURAD","Pinus radiata",50,-4166,2,1
"Group08","PINURES","Pinus resinosa",50,-4166,2,1
"Group08","PINUS","Pinus sp.",50,-4166,2,1
"Group08","PINUSX","Pinus sp. x Pinus sp.",50,-4166,2,1
"Group08","PINUSYL","Pinus sylvestris",50,-4166,2,1
"Group08","PINUXMU","Pinus x murraybanksiana",50,-4166,2,1
"Group03","CLADGRA1","Cladonia gracilis ssp. elongata",35,1,1,1
"Group03","CLADGRA2","Cladonia gracilis ssp. turbinata",35,1,1,1
"Group03","CLADGRA3","Cladonia gracilis ssp. vulnerata",35,1,1,1
"Group01","ABIETIN","Abietinella sp.",38,1,1,1
"Group02","TSUGMER","Tsuga mertensiana",22,14,1,1
