"ID","ServicePackName","DateInstalled","Description"
1582228510,"Reattach project",2/20/2020 11:55:10,"VPro will attempt to reattach project when selected project does not match the underlying data."
1585247269,"Scroll",3/26/2020 11:27:49,"Adds scrollbars to data entry form"
1585318683,"SU into Env",3/27/2020 7:18:03,"Fixes bug in SU into Env"
1585765551,"Combo Report",4/1/2020 11:25:51,"Fixes error in Combo Report module"
1586180978,"Combo Report - second try!",4/6/2020 6:49:38,"Fixes error in Combo Report module - second try!"
1586213725,"Data location error",4/6/2020 15:55:25,"Fixes data location error."
1586281464,"Lump form",4/7/2020 10:44:24,"Fixes error in unattaching lump tables"
1586298873,"Data Centre",4/7/2020 15:34:33,"Adds a SU table button to the Data Centre"
1586443703,"Plot profiling",4/9/2020 7:48:23,"Adds a SU table button to the Data Centre"
1586469396,"Filter by Form",4/9/2020 14:56:36,"Traps a filter by form run-time error"
1587055351,"Plot profiling 2",4/16/2020 9:42:31,"Fixes a lumping bug in the plot profiling module"
1588522441,"Hierarchy node renaming",5/3/2020 9:14:01,"Fixes a hierarchy node renaming error"
1591215557,"Export to PC-ORD",6/3/2020 13:19:17,"Fixes some PC-ORD export errors"
1604595257,"Env report change to quartile",11/5/2020 8:54:17,"Changes env summary method to quartiles"
