"YearOfChange","ChangeDescription","APCFamily","FamilyCode","OldCode","Code","SplCode","TreeCode","ScientificName","Lifeform","Authority","EnglishName_Old","EnglishName","common_name_pb","Notes_on_names","ShortenedGuideName","Native","Codetype","Province","ID","TaxonLevel","IsAttribute","Report","SplCode_calc","Codelength","CombinedEnglishName"
"2019Oct","Set back to synonym","PINACEA","PINACEA","ABIELAS2","ABIELAS","ABIEBIF","Bli","Abies lasiocarpa var. bifolia",1,"(Hook.) Nutt.","subalpine fir","interior subalpine fir","interior subalpine fir","Agrees with Vascan, Natureserve. Separate species in FNA",,"N","S","BC",1138634,"var",0,0,"ABIELAS",5,
,,"PINACEA","PINACEA","ABIEMAG","ABIEMAG","ABIEMAG","Bm","Abies magnifica",1,"Lemmon","red fir","red fir","red fir","Agrees with Natureserve. Not in BC/Vascan",,"P","X","BC",1138636,"var",0,0,"ABIEMAG",5,
,,"PINACEA","PINACEA","ABIEMAG1","ABIEMAG1","ABIEMAG","Bm","Abies magnifica var. shastensis",1,"Lemmon","Shasta red fir","Shasta red fir","Shasta red fir","Agrees with Natureserve. Not in BC/Vascan",,"P","X","BC",13685,"var",0,0,"ABIEMAG",5,
,,,"PINACEA","ABIEXSH","ABIEMAG1","ABIEMAG",,"Abies x shastensis",1,"(Lemmon) Lemmon",,,,,,,"S","BC",13688,"hyb",0,0,"ABIEX",5,
,,"PINACEA","PINACEA","ABIEPRO","ABIEPRO","ABIEPRO","Bp","Abies procera",1,"Rehder","noble fir","noble fir","noble fir","Not in BC. Agrees with Natureserve. Vascan says excluded",,"P","X","BC",13686,"spp",0,0,"ABIEPRO",5,
,,"PINACEA","PINACEA","ABIES","ABIES","ABIES","B","Abies spp.",1,"Miller","fir","firs","fir","Not sure of Authority for Abies. This is from ITIS. Also, Fl of N. America has Miller.",,"N","U","BC",13687,"gen",0,1,"ABIES",5,
"2022","Replaced by new upper taxa codes",,"THUIDIA","ABIETIN","ABIETINE","ABIETINE",,"Abietinella spp.",9,,,"fern mosses",,,,"N","S","BC",14209,"gen",0,1,"ABIETINE",11,
"2022","New coding for upper taxa",,"THUIDIA","ABIETINE","ABIETINE","ABIETINE",,"Abietinella spp.",9,,,"fern mosses",,,,"N","U","BC",14209,"gen",0,1,"ABIETINE",11,
,,"NYCTAGI","NYCTAGI","ABROLAT","ABROLAT","ABROLAT",,"Abronia latifolia",7,"Eschsch.","yellow sand-verbena","yellow sand-verbena","yellow sand-verbena","Agrees with FNA, NS, Vascan. ITIS has coastal.",,"N","U","BC",16246,"spp",0,1,"ABROLAT",7,
,,"NYCTAGI","NYCTAGI","ABRONIA","ABRONIA","ABRONIA",,"Abronia spp.",7,"Jussieu",,"sand-verbenas","sand-verbena","agrees with FNA/ITIS. Abronia is not legit genus in Tropicos.",,"N","U","BC",16247,"gen",0,1,"ABRONIA",7,
"2019pb","excluded not on Bjork & Goward 2018 list",,"UNCERT","ABROPAR","ABROPAR","ABROPAR",,"Abrothallus parmeliarum",15,"(Sommerf.) Arnold",,,,"Non-lichenized. Natureserve says uncertain family and placement",,"N","X","BC",22116,"spp",0,1,"ABROPAR",11,
"2022","Replaced by new upper taxa codes",,"UNCERT","ABROTHA","ABROTHAL","ABROTHAL",,"Abrothallus spp.",15,"De Not.",,,,"Non-lichenized. Grows on Parmelia. No common name found",,"N","S","BC",22117,"gen",0,1,"ABROTHAL",11,
"2022","New coding for upper taxa",,"UNCERT","ABROTHAL","ABROTHAL","ABROTHAL",,"Abrothallus spp.",15,"De Not.",,,,"Non-lichenized. Grows on Parmelia. No common name found",,"N","U","BC",22117,"gen",0,1,"ABROTHAL",11,
,,"NYCTAGI","NYCTAGI","ABROUMB","ABROUMB","ABROUMB",,"Abronia umbellata",7,"Lam.","pink sand-verbena","pink sand-verbena","pink sand-verbena","NS has beach. Vasan, ITIS  agrees. FNA doesn't have common name",,"N","U","BC",16248,"spp",0,1,"ABROUMB",7,
"2007","now synonym",,"NYCTAGI","ABROUMB1","ABROUMB3","ABROUMB",,"Abronia umbellata ssp. acutalata",7,"(Standl.) Tillett",,,,"FNA has no common name",,,"S","BC",16249,"ssp",0,0,"ABROUMB",7,
"2007","now synonym",,"NYCTAGI","ABROUMB2","ABROUMB3","ABROUMB",,"Abronia umbellata ssp. breviflora",7,"(Standl.) Munz","pink sand-verbena",,,"FNA does not have common name. Synonym",,,"S","BC",14267,"ssp",0,0,"ABROUMB",7,
"2007","new native","NYCTAGI","NYCTAGI","ABROUMB3","ABROUMB3","ABROUMB",,"Abronia umbellata var. breviflora",7,"(Standl.) Munz","pink sand-verbena","pink sand-verbena","pink sand-verbena","Variety is accepted currently (Vascan). Northern pink sand-verbena? All pink in ITIS.",,"N","U","BC",24841,"var",0,1,"ABROUMB",7,
"2019pb","Excluded, not on Bjork&Goward list",,"UNCERT","ABROWEL","ABROWEL","ABROWEL",,"Abrothallus welwitschii",15,"Tul.",,,,"No common name found",,"N","X","BC",22118,"spp",0,1,"ABROWEL",11,
"2019pb","addition from Bjork and Goward review",,"NOTUSED","ABSCAMA","ABSCAMA","ABSCAMA",,"Absconditella amabilis",15,"T. Sprib.",,,,,,"N","U","BC",1136980,"spp",0,1,"ABSCAMA",13,
"2019pb","addition from Bjork and Goward review",,"NOTUSED","ABSCCEL","ABSCCEL","ABSCCEL",,"Absconditella celata",15,"Döbbeler & Poelt",,,,,,"N","U","BC",1136981,"spp",0,1,"ABSCCEL",13,
"2019pb","addition from Bjork and Goward review",,"NOTUSED","ABSCDEL","ABSCDEL","ABSCDEL",,"Absconditella delutula",15,"(Nyl.) Coppins & H.Kilias",,,,,,"N","U","BC",1136982,"spp",0,1,"ABSCDEL",13,
"2019pb","addition from Bjork and Goward review",,"NOTUSED","ABSCLIG","ABSCLIG","ABSCLIG",,"Absconditella lignicola",15,"Vězda & Pisút",,,,,,"N","U","BC",1136983,"spp",0,1,"ABSCLIG",13,
"2022","Replaced by new upper taxa codes",,"NOTUSED","ABSCOND","ABSCONDI","ABSCONDI",,"Absconditella spp.",15,"Vězda",,,,,,"N","S","BC",1136986,"gen",0,1,"ABSCONDI",13,
"2022","New coding for upper taxa",,"NOTUSED","ABSCONDI","ABSCONDI","ABSCONDI",,"Absconditella spp.",15,"Vězda",,,,,,"N","U","BC",1136986,"gen",0,1,"ABSCONDI",13,
"2019pb","addition from Bjork and Goward review",,"NOTUSED","ABSCSPH","ABSCSPH","ABSCSPH",,"Absconditella sphagnorum",15,"Vězda & Pisút",,,,,,"N","U","BC",1136984,"spp",0,1,"ABSCSPH",13,
"2019pb","addition from Bjork and Goward review",,"NOTUSED","ABSCTRI","ABSCTRI","ABSCTRI",,"Absconditella trivialis",15,"(Willey ex Tuck.) Vězda",,,,,,"N","U","BC",1136985,"spp",0,1,"ABSCTRI",13,
"2022","Replaced by new upper taxa codes","MALVACE","MALVACE","ABUTILO","ABUTILON","ABUTILON",,"Abutilon spp.",7,"Miller",,"velvet-leafs","velvet-leaf","Indian-mallow in Vascan.",,"N","S","BC",16250,"gen",0,1,"ABUTILON",8,
"2022","New coding for upper taxa","MALVACE","MALVACE","ABUTILON","ABUTILON","ABUTILON",,"Abutilon spp.",7,"Miller",,"velvet-leafs","velvet-leaf","Indian-mallow in Vascan.",,"N","U","BC",16250,"gen",0,1,"ABUTILON",8,
,,"MALVACE","MALVACE","ABUTTHE","ABUTTHE","ABUTTHE",,"Abutilon theophrasti",7,"Medik.","velvet-leaf","velvet-leaf","velvet-leaf","Vascan, NS but no hyphen. FNA has a string of names: butterprint, China jute, Indian hemp, pie-macker, velvetleaf.",,"E","U","BC",16251,"spp",0,1,"ABUTTHE",8,
,,,"ACAROSO","ACARASA","ACARASA","ACARASA",,"Acarospora asahinae",15,"H. Magn.","Asahina's cracked lichen","Asahina's cobblestone lichen",,"EOL",,"N","X","BC",22121,"spp",0,1,"ACARASA",10,
,,,"ACAROSO","ACARBAD","ACARBAD","ACARBAD",,"Acarospora badiofusca",15,"(Nyl.) Th. Fr.","black margin cobblestone lichen","black-margined cobblestone lichen",,"PB made up name",,"N","U","BC",22122,"spp",0,1,"ACARBAD",10,
,,,"NOTUSED","ACARBOU","ACARBAD","ACARBAD",,"Acarospora boulderensis",15,"H. Magn.",,,,,,,"S","BC",22124,"spp",0,0,"ACARBOU",10,
,,,"ACAROSO","ACARCER","ACARCER","ACARCER",,"Acarospora cervina",15,"A. Massal.",,"calcareous cobblestone lichen",,"PB made up name.  Also, var squamulosa in BC only?EOL",,"N","X","BC",22125,"spp",0,1,"ACARCER",10,
"2019pb","addition by Bjork & Goward review",,"ACAROSO","ACARELE","ACARELE","ACARELE",,"Acarospora elevata",15,"H.Magn.",,,,,,"N","U","BC",1137002,"spp",0,1,"ACARELE",10,
,,,"ACAROSO","ACARFUS","ACARFUS","ACARFUS",,"Acarospora fuscata",15,"(Schrader) Arnold","brown cobblestone lichen","brown cobblestone lichen",,"Brodo et al. 2001",,"N","U","BC",22133,"spp",0,1,"ACARFUS",10,
,,,"ACAROSO","ACARGLA","ACARGLA","ACARGLA",,"Acarospora glaucocarpa",15,"(Ach.) Körber","rimmed cobblestone lichen","rimmed cobblestone lichen",,"Brodo et al. 2001",,"N","U","BC",22134,"spp",0,1,"ACARGLA",10,
"2019pb","Addition Bjork & Goward review",,"ACAROSP","ACARIMP","ACARIMP","ACARIMP",,"Acarospora impressula",15,"Th.Fr.",,,,,,"N","U","BC",1137001,"spp",0,1,"ACARIMP",10,
,,,"ACAROSO","ACARMAC","ACARMAC","ACARMAC",,"Acarospora macrospora",15,"(Hepp) Bagl.","big spore cracked lichen","large-spored cobblestone lichen",,"EOL",,"N","U","BC",22137,"spp",0,1,"ACARMAC",10,
"2019pb","Added subspecies (not in Essling)",,"ACAROSO","ACARMAC1","ACARMAC1","ACARMAC",,"Acarospora macrospora ssp.macrospora",15,"(Hepp) A.Massal. ex Bagl.","big spore cracked lichen","large-spored cobblestone lichen",,"EOL",,"N","U","BC",1136987,"ssp",0,1,"ACARMAC",10,
"2019pb","Added subspecies (not in Essling)",,"ACAROSO","ACARMAC2","ACARMAC2","ACARMAC",,"Acarospora macrospora ssp.murorum",15,"(A.Massal.) Clauzade & Cl.Roux","big spore cracked lichen","large-spored cobblestone lichen",,"EOL",,"N","U","BC",1136988,"ssp",0,1,"ACARMAC",10,
,,,"ACAROSO","ACARMOE","ACARMOE","ACARMOE",,"Acarospora moenium",15,"(Vainio) Räsänen",,,,,,"N","U","BC",1136989,"spp",0,1,"ACARMOE",10,
"2019pb","Addition Bjork & Goward review",,"ACAROSO","ACARMOL","ACARMOL","ACARMOL",,"Acarospora molybdina",15,"(Wahlenb.) Trevis",,"ochre cobblestone lichen",,,,"N","U","BC",1136990,"spp",0,1,"ACARMOL",10,
