"User","Action","NodeName","NodeID","Parent","EditField","EditWhen","BeforeEdit","AfterEdit","Restore","Flag","ID"
"puket","New","BWBSdk 1 /09",1548179006,"BWBSwk 1 /06","New",1/22/2019 9:43:26,"Null","BWBSdk 1 /09",0,0,
"puket","Drag","BWBSdk 1 /09",1548179006,,"Drag",1/22/2019 9:43:37,,"~FaciesD",0,0,
"puket","New","BWBSmw 2 /05-Acho",696638695,"BWBSdk 1 /09","New",1/22/2019 9:45:02,"Null","BWBSmw 2 /05-Acho",0,0,
"puket","Drag","BWBSmw 2 /05-Acho",696638695,,"Drag",1/22/2019 9:45:09,,"~FaciesD",0,0,
"puket","Change","~FaciesD",-1755681768,"SubAssocD","Level",1/22/2019 9:45:24,"10","10",0,0,
"puket","Change","BWBSmw 2 /05-Acho",696638695,"~FaciesD","Level",1/22/2019 9:45:26,"10","11",0,0,
"puket","Change","BWBSdk 1 /09",1548179006,"~FaciesD","Level",1/22/2019 9:45:26,"10","11",0,0,
"puket","Add","~ClassLess",1451935446,,"From Add/remove form",12/27/2019 10:19:53,,"~ClassLess",0,0,
"puket","New","DeleteMe",1577715497,"Conifer Forests","New",12/30/2019 6:18:17,"Null","DeleteMe",0,0,
"puket","Delete","DeleteMe",1577715497,"Conifer Forests","Delete",12/30/2019 6:22:14,"DeleteMe","Null",0,0,
"puket","New","DeleteMe",1198659638,"Conifer Forests","New",12/30/2019 6:24:16,"Null","DeleteMe",0,0,
"puket","Delete","DeleteMe",1198659638,"Conifer Forests","Delete",12/30/2019 6:25:56,"DeleteMe","Null",0,0,
"puket","New","DeleteMe",-1873885825,"Conifer Forests","New",12/30/2019 6:26:19,"Null","DeleteMe",0,0,
"puket","Delete","DeleteMe",-1873885825,"Conifer Forests","Delete",12/30/2019 6:26:58,"DeleteMe","Null",0,0,
"puket","New","DeleteMe",1184777157,"Conifer Forests","New",12/30/2019 6:49:06,"Null","DeleteMe",0,0,
"puket","Change","DeleteMe",1184777157,"Conifer Forests","Level",12/30/2019 6:49:32,"10","1",0,0,
"puket","Delete","DeleteMe",1184777157,"Conifer Forests","Delete",12/30/2019 6:49:59,"DeleteMe","Null",0,0,
"puket","Change","~Facies B",1745389211,"1569085257","Name",4/24/2020 8:03:14,"~FaciesB","~Facies B",0,0,
"puket","Change","~Facies - B",1745389211,"1569085257","Name",4/24/2020 8:03:39,"~Facies B","~Facies - B",0,0,
"puket","Change","~Facies - B1",1745389211,"1569085257","Name",5/3/2020 8:53:32,"~Facies - B","~Facies - B1",0,0,
"puket","Change","~Facies - B",1745389211,"1569085257","Name",5/3/2020 8:53:57,"~Facies - B1","~Facies - B",0,0,
"puket","Change","~Facies - B1",1745389211,"1569085257","Name",5/3/2020 8:59:28,"~Facies - B","~Facies - B1",0,0,
"puket","Change","~Facies - B",1745389211,"1569085257","Name",5/3/2020 9:03:52,"~Facies - B1","~Facies - B",0,0,
"puket","Change","~Facies - B1",1745389211,"1569085257","Name",5/3/2020 9:04:30,"~Facies - B","~Facies - B1",0,0,
"puket","Change","~Facies - B",1745389211,"1569085257","Name",5/3/2020 9:04:46,"~Facies - B1","~Facies - B",0,0,
"puket","Change","~Facies - B1",1745389211,"1569085257","Name",5/3/2020 9:07:05,"~Facies - B","~Facies - B1",0,0,
