"Flag","Code","Climate","Est_ASMR","Est_SNR","GSM","Codetype","Native","Mult_life","P_Organism","Poison_Humans","Poison_Livestock","Poison_Wildlife","P_Descriptor","P_Mode","P_Toxin","P_Toxicity","P_Season","P_Parts","P_Comments","GBearSpring","GBearSummer","GBearFall","Cow_Forage","WeedStatus","Wetland_Ind","RedBlueList","SRank","ID"
0,"ABIEABI","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,3853
0,"ABIEAMA","2","4","0","1","U","N",,,,,,,,,,,,,,,,,,"4",,,718
0,"ABIEBAL","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,719
0,"ABIECON","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,720
0,"ABIEGRA","5","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,721
0,"ABIELAS","3","0","0","0","U","N",,,,,,,,,,,,,"1","1","0",,,"4",,,722
0,"ABIELAS1","3","0","0","0","U","N",,,,,,,,,,,,,,,,,,"4",,,7469
0,"ABIEMAG1","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,723
0,"ABIEPRO","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,724
0,"ABIES","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,725
0,"ABIETIN","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,845
0,"ABROLAT","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,2348
0,"ABRONIA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,2349
0,"ABROPAR","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5978
0,"ABROTHA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5979
0,"ABROUMB","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,2350
0,"ABROUMB3","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,433
0,"ABROWEL","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5980
0,"ABUTILO","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,2351
0,"ABUTTHE","0","0","0","0","U","E",,,,,,,,,,,,,,,,,"P",,,,2352
0,"ACARASA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5981
0,"ACARBAD","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5982
0,"ACARCER","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5983
0,"ACARFUS","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5984
0,"ACARGLA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5985
0,"ACARMAC","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5986
