"Plot","StartDate","PlotType","PlotSize","ProvinceStateTerritory","SitePlotQuality","VegPlotQuality","SoilPlotQuality","UpdatedFromCards","EnteredBy","UserSiteUnit","BECSiteUnit","SiteUnitShortName","SiteUnitLongName","OfficeNotes","HumusThickness","GIS_BGC","GIS_BGC_VER","BEC_Use","StrataCoverTotal"
"1976071",1965,,,,"Poor",,"Good",0,,"BWBSmw 2 /05",,"BWBSmw 2 /05","Sw - Currant - Horsetail",,,,,"1",
"1976072",1965,,,,"Poor",,"Good",0,,"BWBSmw 2 /05",,"BWBSmw 2 /05","Sw - Currant - Horsetail",,,,,"1",
"1976075",1965,"1",,,,"Poor",,0,,"BWBSmw 2 /05",,"BWBSmw 2 /05","Sw - Currant - Horsetail",,25.00,,,"1",
"1976080",1965,,,,"Poor",,"Good",0,,"BWBSmw 2 /05",,"BWBSmw 2 /05","Sw - Currant - Horsetail",,,,,"2",
"202050",1965,"FS882",,,"Fair",,"Good",0,,"MH  whp  /01",,,,,8.00,,,"2",
"406250",1965,,,,"Fair",,"Good",0,,"BWBSdk 1 /09",,"BWBSdk 1 /09","Sb - Horsetail - Sphagnum",,3.00,,,"2",
"412150",1965,,,,"Fair",,"Good",0,,"BWBSdk 2 /06",,"BWBSdk 2 /06","Sw - Currant - Horsetail",,,,,"2",
"412250",1965,,,,"Fair",,"Good",0,,"BWBSdk 2 /06",,"BWBSdk 2 /06","Sw - Currant - Horsetail",,,,,"2",
"412350",1965,,,,"Fair",,"Poor",0,,"BWBSdk 2 /06",,"BWBSdk 2 /06","Sw - Currant - Horsetail",,10.00,,,"2",
"412450",1965,,,,"Fair",,"Poor",0,,"BWBSdk 2 /06",,"BWBSdk 2 /06","Sw - Currant - Horsetail",,9.00,,,"2",
"5760454",1965,,,,"Fair",,"Poor",0,,"BWBSwk 1 /06",,"BWBSwk 1 /06","Sw - Currant - Horsetail",,,,,"2",
"5760463",1965,,,,,,"Poor",0,,"BWBSwk 1 /06",,"BWBSwk 1 /06","Sw - Currant - Horsetail",,,,,"2",
"5760808",1965,,,,,"Good","Poor",0,,"BWBSwk 1 /06",,"BWBSwk 1 /06","Sw - Currant - Horsetail",,,,,"2",
"579279",1965,,,,,"Good","Poor",0,,"MH  whp  /01",,,,,,,,"3",
"8229723",1965,,,,,"Good","Good",0,,"BWBSdk 1 /08",,"BWBSdk 1 /08","Sw - Currant - Horsetail",,72.00,,,"3",
"QCIL6",1965,,,,,"Good","Excellent",0,,"MH  whp  /01",,,,,,,,"5",
"QCIQ10",1965,"FS882",,,,"Good",,0,,"MH  whp  /01",,,,,,,,"5",
"QCIQ14",1965,,,,,"Good",,0,,"MH  whp  /01",,,,,,,,"5",
