"ID","Name","Parent","Level","Tag","MyOrder","ChildID","StartChild","LastChild","Flag"
-2146566547,"CDFmm/Rock bluff complex",248865285,1,"1","00032",,,,0
-2080764215,"SBS dk   /Fh1",1401725025,11,"1","00026",5,,,0
-1849324654,"BWBSmw 2 /05",-1624397357,11,"1","00016",3,,,0
-1755681768,"FaciesD",802453082,10,"1","00021",,,,0
-1700334604,"SubClassA",1963243167,3,"1","00029",,,,0
-1624397357,"FaciesC",1910716509,10,"1","00015",,,,0
-1600941932,"ORDER Tsugmer",-1700334604,4,"1","00030",,,,0
-1516325717,"BWBSwk 1 /06",-1755681768,11,"1","00022",4,,,0
-1449469375,"SubClassB",-768677056,3,"1","00004",,,,0
-1322439081,"SubAllianceC",-247835175,7,"1","00008",,,,0
-1316663489,"Conifer Forests",,1,"1","00001",,,,0
-1218107202,"BWBSdk 2 /06",1451935446,11,"1","00003",7,,,0
-1085627946,"SubAllianceA",-2146566547,7,"1","00038",,,,0
-913607396,"~ASSOC Piceene-Alnuinc-Equiset",-548188340,8,"1","00019",,,,0
-912126682,"~ASSOC Picegla-Ribetri-Equiset",-1322439081,8,"1","00009",,,,0
-868852363,"BWBSwk 2 /06",1094651630,11,"1","00012",1,,,0
-768677056,"ClassB",-1316663489,2,"1","00001",,,,0
-548188340,"SubAllianceD",417520999,7,"1","00018",,,,0
-370059454,"MH  whp  /02",1736841701,11,"1","00042",8,,,0
-247835175,"ALLIANCE Picegla-Equiset",-74529938,6,"1","00007",,,,0
-245172527,"BWBSdk 1 /08",1094651630,11,"1","00013",2,,,0
-74529938,"SubOrderB",706038944,5,"1","00006",,,,0
248865285,"SUBORDER Tsugmer-Coptasp",-1600941932,5,"1","00031",,,,0
417520999,"ALLIANCE Piceene-Alnuinc-Equiset",-74529938,6,"1","00017",,,,0
696638695,"BWBSmw 2 /05-Acho",-1755681768,11,,"00024",,,,0
706038944,"ORDER Piceene-Equiset",-1449469375,4,"1","00005",,,,0
802453082,"SubAssocD",-913607396,9,"1","00020",,4,6,0
931012596,"~ASSOC Tsugmer-Phylemp-Cladina",-1085627946,8,"1","00039",,,,0
1094651630,"SubAssTest",1096289513,10,"1","00011",,,,0
1096289513,"SubAssocB",-912126682,9,"1","00010",,1,2,0
1212739030,"MH  whp  /01",1745389211,11,"1","00037",9,,,0
1256248805,"SUBASS Hm-Phylemp-Cladina(Abieama)",931012596,9,"1","00040",,8,8,0
1330358058,"~ASSOC Tsugmer-Cassste",1846954818,8,"1","00034",,,,0
1401725025,"SubAssocDelete",802453082,10,"1","00025",,,,0
1451935446,"ClassLess",-768677056,10,"1","00002",,,,0
1548179006,"BWBSdk 1 /09",-1755681768,11,,"00023",,,,0
1569085257,"SUBASS Hm-Cassste(Veravir)",1330358058,9,"1","00035",,9,9,0
1635594070,"SBS mk   /Fh1",1401725025,11,"1","00027",6,,,0
1736841701,"FaciesA",1256248805,10,"1","00041",,,,0
1745389211,"Facies - B",1569085257,10,"1","00036",,,,0
1846954818,"SubAllianceB",-2146566547,7,"1","00033",,,,0
1910716509,"SubAssocC",-912126682,9,"1","00014",,3,3,0
1963243167,"ClassA",-1316663489,2,"1","00028",,,,0
