"LumpCode","SppCode","Use"
"POASPP","POA PRA2",1
"POASPP","POA PRA3",1
"POASPP","POA PRA4",1
"POASPP","POA PRA5",1
"POASPP","POA PRA6",1
"POASPP","POA PSE",1
"POASPP","POA SEC",1
"POASPP","POA SEC1",1
"POASPP","POA SEC2",1
"POASPP","POA STE",1
"POASPP","POA TRI",1
"POASPP","POA WHE",1
"TIARSPP","TIARELL",1
"TIARSPP","TIARTRI2",1
"TIARSPP","TIARTRI3",1
"PINUSPP","PINUCON2",1
"PINUSPP","PINUCON1",1
"PINUSPP","PINUS",1
"ABIESPP","ABIES",1
"ABIESPP","ABIEBAL",1
"ABIESPP","ABIECON",1
"ABIESPP","ABIEPRO",1
"ABIESPP","ABIELAS",1
"ABIESPP","ABIEMAG1",1
"PiceSpp","PICEABI",1
"PiceSpp","PICEENG",1
"PiceSpp","PICEENE",1
"PiceSpp","PICEENS",1
"PiceSpp","PICEGLA",1
"PiceSpp","PICEGES",1
"PiceSpp","PICEGLM",1
"PiceSpp","PICEMAR",1
"PiceSpp","PICESIT",1
"PiceSpp","PICESIX",1
"PiceSpp","PICEA",1
"PiceSpp","PICEAX",1
"PiceSpp","PICEXLU",1
"EPILSPP","EPILANA",1
"EPILSPP","EPILANG",1
"EPILSPP","EPILBRA",1
"EPILSPP","EPILOBI",1
"POASPP","POA",1
"POASPP","POA ALP",1
"POASPP","POA ANN",1
"POASPP","POA ARC",1
"POASPP","POA BUL",1
"POASPP","POA COM",1
"POASPP","POA CON",1
"POASPP","POA CUS",1
"POASPP","POA CUS4",1
"POASPP","POA CUS5",1
"POASPP","POA CUS6",1
"POASPP","POA EMI",1
"POASPP","POA FEN",1
"POASPP","POA FEN1",1
"POASPP","POA FEN2",1
"POASPP","POA GLA",1
"POASPP","POA GLA1",1
"POASPP","POA GLA2",1
"POASPP","POA HOW",1
"POASPP","POA INF",1
"POASPP","POA LAA",1
"POASPP","POA LAA1",1
"POASPP","POA LAX",1
"POASPP","POA LEP",1
"POASPP","POA LET",1
"POASPP","POA MAC",1
"POASPP","POA MAR",1
"POASPP","POA NEM",1
"POASPP","POA NER",1
"POASPP","POA PAL",1
"POASPP","POA PAU",1
"POASPP","POA PRA",1
"POASPP","POA PRA1",1
"TIARSPP","TIARCOR",1
"ABIESPP","ABIEAMA",1
"ABIESPP","ABIELAS1",1
"PINUSPP","PINUCON",1
