"PlotNumber","Horizon","UpperDepth","LowerDepth","PitDepthLimit","Colour","ASP","Texture","PercentCoarseFragsGravel","PercentCoarseFragsCobbles","PercentCoarseFragsStones","PercentCoarseFragsTotal","PercentCoarseFragsShape","RootsAbundance","RootsSize","MineralStructureClass","MineralStructureKind","MineralFormpH","MottlesAbundance","MottlesSize","MottlesContrast","ClayFilmsFreq","ClayFilmThickness","Effervescence","Porosity","Comments","Flag","ID"
"8428963","Ah",0.00,16.00,,"10YR2.5/2",7,"SIL",5,,,5,"r","P","C","vc","SBK",,,,,,,,,"contains many fine charcoal bits",0,1441349021
"8428975","Fb",2.00,4.00,,,,,,,,0,,"A","M",,,,,,,,,,,,0,1478569222
"8529676","Ahb2",18.00,20.00,,"10YR2/2",7,"L",,,,,,"A","M","f","GR",,,,,,,,,,0,1479754168
"8229723","Bhb",40.00,60.00,,"10YR 2/2",7,"SIL",0,,,0,,"X",,"c","SBK",,,,,,,,,"much wood and litter in matrix",0,1518212459
"9003002","Ck2",9.00,90.00,,,,"S",,,,,,,,,,,,,,,,,,,0,1529950822
"9003104","Cgj2",10.00,26.00,,,,"SiL",0,,,,,,,,,,,,,,,,,,0,1532395511
"9611965","BC",,,,,,"S",,,,,,,,,,,,,,,,,,"banded silts and sands",0,1533662819
"8428975","C2",22.00,4.00,,"10YR2/1",7,"SL",5,,,5,"R","A","M","m","SBK",,,,,,,,,,0,1584719030
"9611967","Cg",50.00,80.00,,"grey",,"S",,,,,,"F",,,,,,,,,,,,"gleyed",0,1590299153
"9003043","II BCk",15.00,32.00,,,,"SL",20,5,,25,,,,,,,,,,,,,,,0,1600282222
"9003002","Ck",0.00,70.00,,,,"FSL",,,,,,,,,,,,,,,,,,,0,1619968645
"8529670","Ah",0.00,16.00,,"10YR2/1",7,"SICL",,,,,,"F","M","m","SBK",,,,,,,,,,0,1620844466
"9003043","FHb",16.00,5.00,,,,,,,,,,,,,,,,,,,,,,,0,1705267075
"8630146","Bmgz1",0.00,17.60,,"10Yr4/1",1,"SIL",,,,,,"A","C",,"MA",,,,,,,,,,0,1746456770
"8428963","Bm",16.00,35.00,,"2.5YR4/4",7,"CL",5,,,5,"r","A","C","vc","SBK",,,,,,,,,"red colour caused by fire?",0,1754097800
"412450","Ah",0.00,15.00,,,,"VFSL",,,,,,,,,,,,,,,,,,,0,1760075798
"QCIQ10","R",,,,,,,,,,,,,,,,,,,,,,,,,0,1796451933
"961167","Bgj1",25.00,40.00,,"brown",,"SiCL",,,,0,,,,,,,,,,,,,,,0,1870684523
"8630146","BCg",40.00,62.00,,"10YR3.5/2",1,"SIL",,,,,,"P","M",,"MA",,,,,,,,,,0,1894232613
"412450","IICq",59.00,80.00,"+",,,,,,,,,,,,,,,,,,,,,"frost for about top 15-20 cm ; mottles",0,1955319100
"8529676","Ckg2",120.00,44.00,"+","10YR3/2",7,"SL",,,,,,"X",,"vc","PL",,,,,,,,,"broken wood layer at 72cm",0,2030953120
"202050","S,L,H",,,,,2,"LVFS",,,,,,,,,,,,,,,,,,,0,2095413923
"202050","Ah",123.00,124.00,"+",,2,"CSL",,,,100,,"A","M","m","DCY",,,,,,,,,,0,-2054864531
"9611965","Ah",0.00,3.00,,,,,,,,,,,,,,,,,,,,,,,0,-2040349026
"8428935","C1",0.00,25.00,,"2.5Y3/2",,"SICL",,,,,,"A","C",,"MA",,,,,,,,,,0,-1899937792
"8529676","Ahb1",8.00,9.00,,"10YR2/2",7,"L",,,,,,"P","F","f","GR",,,,,,,,,"minor Ahb at 4cm",0,-1812801607
"9003043","Ck",0.00,5.00,,,,"SiL",,,,,,,,,,,,,,,,,,"Ck contains some buried Lf",0,-771114639
"9003104","Cgj1",0.00,7.00,,,,"SiL",0,,,,,,,,,,,,,,,,,,0,-743840998
"406250","C",3.00,5.00,,,,"S",,,,,,,,,,,,,,,,,,,0,-739035421
"9611967","IICg",,80.00,"+","?",,"S",40,50,,90,,,,,,,,,,,,,,"gravels and cobbles",0,-726419108
"961167","Bgj2",40.00,80.00,,"brown",,"SIC",,,0,0,,,,,,,,,,,,,,"with organic materials, mottled, very silty.",0,-688580959
"8529649","Aeg",10.00,12.00,,"10YR4/2",7,"SCL",,,,,,"P","M","m","SBK",,,,,,,,,,0,-674200207
"8529676","Ahb4",43.00,44.00,,"10YR2/1",7,"L",,,,,,"v","F","vf","GR",,,,,,,,,,0,-592961701
"9003104","II Cgj",26.00,45.00,,,,"S",35,5,,40,,,,,,,,,,,,,,,0,-588517768
"8428970","Bm2",50.00,75.00,,"10YR3/1",7,"SIL",5,,,5,"s","A","M","vc","SBK",,,,,,,,,,0,-573759647
"QCIL6","Bh",,50.00,"+","black",,"SI",10,10,40,60,,,,,,,,,,,,,,,0,-567512721
"8529675","BCk",30.00,60.00,"+","10YR3/1",7,"SL",10,40,30,80,"a","P","V","f","SBK",,,,,,,,,"seepage at 30cm",0,-563131995
"8529649","BCg",32.00,75.00,,"10YR4/2",7,"C",3,,,5,"s","X",,"c","ABK",,,,,,,,,,0,-534943392
"9611965","C",,,,,,"S",,,,70,,,,,,,,,,,,,,"river cobbles",0,-452123545
"8529676","Ckg1",26.00,43.00,,"10YR3/2",7,"SIL",,,,,,"F","M","c","PL",,,,,,,,,,0,-352442476
"8529670","BCg",16.00,80.00,"+","10YR4/2",7,"C",5,,,5,"s","v","V","m","SBK",,,,,,,,,"sandstone fragments weathering",0,-271592667
"9003002","IICk",100.00,90.00,,,,"S",30,,,30,,,,,,,,,,,,,,,0,-242625520
"412450","C",27.00,59.00,,,,"S",,,,,,,,,,,,,,,,,,,0,-135733798
"8428942","Hb",22.00,26.00,,,,,,,,0,,"F","V",,,,,,,,,,,,0,13331967
"8428935","C2",25.00,55.00,,"2.5Y3/2",,"SICL",,,,,,"A","C",,"MA",,,,,,,,,,0,30591079
"8428975","C3",22.00,70.00,,"2.5Y2.5/0",7,"S",45,30,,75,"R","F","F",,"SGR",,,,,,,,,,0,33834250
"961167","Bm",0.00,10.00,,"light brown",,"FSL",,,0,0,,,,,,,,,,,,,,,0,53911432
"8529675","Ah",0.00,30.00,,"10YR2/1",7,"SIL",10,20,30,60,"a","P","F","m","SBK",,,,,,,,,,0,705085980
"8529649","Btg",12.00,32.00,,"10YR5/3",7,"SCL",3,,2,5,"s","F","M","c","ABK",,,,,,,,,,0,734519668
"R0126","Cgjk",0.00,50.00,"+","black",,"SIL",0,0,0,,,,,,"SBK",,,,,,,,,"Root AB::  C; Root size:  MC; inherited colour, no visible morphology",0,744467691
"QCIQ10","Bmg",0.00,55.00,,"GBr",,,,,,,,,,,,,,,,,,,,"Org mottles",0,772476094
"8428942","Ah",0.00,15.00,,"10YR3/1",,"SIL",5,,,5,"r",,,,,,,,,,,,,,0,816517586
"108050","Bhg",,9.00,,,5,"VFS",10,,,10,,,,,,,,,,,,,,,0,1012379914
"961167","Ahb",10.00,25.00,,"dark grey brow",,"SIL",,,0,0,,,,,,,,,,,,,,,0,1055498345
"8229723","Bhg",0.00,20.00,,"10YR 2/1",7,"SIL",0,,,0,,"F","F",,"MA",,,,,,,,,,0,1055687142
"8428963","IIBC",35.00,60.00,,"10YR4/2",7,"CL",30,15,,45,"r","P","M","vc","SBK",,,,,,,,,,0,1142240566
"8428975","C1",0.00,2.00,,"10YR2/1",7,"SL",5,,,5,"R","A","M","m","SBK",,,,,,,,,,0,1146807477
"9611965","Bm",,,,,,"SI",,,,,,,,,,,,,,,,,,,0,1216212298
"QCIQ14","Bg",0.00,15.00,,"G/Or",,"SIC",5,0,0,5,,,,,,,,,,,,,,"mottled Or",0,1225543025
"8529676","Ck2",18.00,9.00,,"2.5Y3/2",7,"FSL",,,,,,"A","M","m","PL",,,,,,,,,,0,1232957728
"406250","S(l)",,,,,,,,,,,,,,,,,,,,,,,,,0,1238117595
"8428970","Btj",22.00,50.00,,"10YR3/1",7,"L",30,5,,35,"s","X","F","c","SBK",,,,,,,,,,0,1239578719
"8428942","IIICg",31.00,38.00,,"10YR4/1",1,"S",35,15,,50,"r",,,,,,,,,,,,,,0,1301546441
"9624804","Ahe",0.00,19.00,,"dark",,"SIC",,,,0,,"P","F/C","M","GR",,,,,,,,,,0,-1772100845
"9611967","Bg",30.00,50.00,,"grey br",,"LS",,,,0,,"P","M",,,,,,,,,,,"lots of wood",0,-1741687435
"9003002","Ahkb",7.00,9.00,,,,"S",,,,,,,,,,,,,,,,,,,0,-1651929432
"8630146","Cg",62.00,97.00,,"10YR4/1.5",1,"SIL",,,,,,"F","V",,"MA",,,,,,,,,,0,-1567046889
"8529415","Cg",0.00,14.00,,"10YR3/1",7,"CL",20,,,20,"a","v","V","vc","SBK",,,,,,,,,"seepage at +5 cm above Cg",0,-1522620604
"8529649","Ah",0.00,10.00,,"10YR3/1",7,"CL",,,,,,"P","M","m","SBK",,,,,,,,,,0,-1496530207
"Cb13011","Bm",0.00,15.00,,,,"S",10,5,5,20,"A","P/f","V/f",,,,,,,,,,,"More clast rich at top of bm",0,-1237134237
"Cb13011","Bc",15.00,36.00,,,,"S",10,5,,15,"A","F","V",,,,,,,,,,,,0,2119190376
"Cb13011","C",36.00,,,,,"S",10,5,,15,"A",,,,,,,,,,,,,"Weakly stratified at upper contact",0,641989961
"108050","Ae",9.00,14.00,"+",,,,,,,,,,,,,,,,,,,,,,0,-2127813489
"9003104","Ahb",10.00,7.00,,,,"SiL",0,,,,,,,,,,,,,,,,,,0,71122593
"8428942","IIBCg2",26.00,31.00,,,,"SIL",,,,0,,,,,,,,,,,,,,,0,82351109
"412350","Bm",25.00,45.00,,,,"FSL",,,,0,,,,,,,,,,,,,,"bound buried horizons",0,148718078
"406250","Fq",0.00,3.00,,,,,,,,,,,,,,,,,,,,,,,0,148918632
"QCIQ14","BC",15.00,35.00,,"LBr",,"SIC",75,0,0,75,,,,,,,,,,,,,,"Sap/ Weath Rx",0,269827200
"8229723","Cg",20.00,40.00,,"2.5Y 3/2",1,"SICL",0,,,0,,"X",,,"MA",,,,,,,,,,0,270900189
"412350","Ah-1",0.00,8.00,,,,"SIL",,,,0,,,,,,,,,,,,,,"recent flooding",0,423261954
"406250","Hb",5.00,7.00,,,,,,,,,,,,,,,,,,,,,,,0,614349812
"412350","C",45.00,70.00,"+",,,"S",,,,,,,,,,,,,,,,,,"micaceous",0,652913665
"8428942","BCg1",15.00,22.00,,"10YR4/1",1,"SIL",,,,0,,"F","V",,,,,,,,,,,,0,681960469
"9624781","Ah",0.00,22.00,,"10YR2/2",,"SI",,,,,,"P","V/C","C","GR",,,,,,,,,,0,702257899
"412450","Bmgj",15.00,27.00,,,,"FSL",,,,,,,,,,,,,,,,,,"faint mottling",0,-1410605539
"9003043","Bmb",16.00,19.00,,,,"SiL",5,,,5,,,,,,,,,,,,,,,0,-1325634454
"9611967","Ah",0.00,30.00,,"dk br",,"L",,,,0,,"P","M",,,,,,,,,,,"silt and sand banded",0,-1237748255
"8428970","Bm1",0.00,22.00,,"10YR4/2",7,"SL",5,,,5,"s","A","C","vc","SBK",,,,,,,,,"may be psudo platy",0,-1231059131
"8529676","Ck1",0.00,8.00,,"2.5Y3/2",7,"SIL",,,,,,"P","F","c","PL",,,,,,,,,,0,-1160496075
"412350","Ah-2",25.00,8.00,,,,"FSL",,,,0,,,,,,,,,,,,,,"buried horizon",0,-1153723675
"9624781","Cg",22.00,30.00,"+","10YR5/2",,"SIC",,,,,,"P","V/M","VC","SB",,,,,,,,,,0,-1097836441
"8529676","Ck3",20.00,25.00,,"2.5Y3/2",7,"FSL",,,,,,"P","M","c","PL",,,,,,,,,,0,-1064811329
"9003043","II Ck",32.00,70.00,,,,"SL",20,5,,25,,,,,,,,,,,,,,,0,-1034506484
"9624804","Btgj",19.00,34.00,,"BROWN",,"SIC",,,,0,,"P","F/M","M","SBK",,,,,,,,,"MOTTLED, SLIGHTLY GLEYED",0,-1017041079
"406250","etc.",,,,,,,,,,,,,,,,,,,,,,,,,0,-998421714
"8529676","Ahb3",25.00,26.00,,"10YR2/1.5",7,"L",,,,,,"A","M","f","GR",,,,,,,,,,0,-945024886
"8630146","Bmgz2",17.60,40.00,,"10YR4/1",1,"SIL",,,,,,"P","V",,"MA",,,,,,,,,,0,-898318371
"108050","bedrock",,,,,,,,,,,,"A/F",,"vc","COL",,,,,,,,,"saprolitic rock",0,-846012944
