"PlotNumber","Species","Layer","Cover1","Height1","Cover2","Height2","Cover3","Height3","TotalA","HeightA","Cover4","Height4","Cover5","Height5","Cover5a","Height5a","Cover5b","Height5b","Cover5c","Height5c","TotalB","HeightB","Cover6","Height6","Cover7","Cover8","Cover9","Cover10","Collected","Flag","ID","LL","AF","DC","UT","VI","PV","PG","FFA","Cultural1","Cultural2","Other1","Other2"
"00337","ABIE_RK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1350988242,,,,,,,,,,,,
"00337","ABIEBALD",,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,0,865817111,,,,,,,,,,,,
"00337","ABIELAS",,10.00,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,0,-254928884,,,,,,,,,,,,
"00337","ALNUALN1",,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,0,1154810397,,,,,,,,,,,,
"00337","ASTER",,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,0,798453018,,,,,,,,,,,,
"00337","myherb",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,"0",0,-1373402733,,,,,,,,,,,,
"00337","mymoss",,,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,0,1335443672,,,,,,,,,,,,
"00337","PINUCON",,,,2.00,,,,,,,,,,,,,,,,,,,,5.00,,,,,0,-1405979143,,,,,,,,,,,,
"108050","ABIE_RK",,2.00,,1.00,,3.00,,3.00,,,,5.00,,4.00,,3.00,,2.00,,12.00,,,,,,,,"C",0,-65244474,,,,,,10,,,,,,
"108050","ABIEAMA",,,,5.00,,1.00,,5.00,,,,,,,,,,,,,,,,,,,,"C",0,865997007,3,,4,4,1,10,13,2,,,,
"108050","ABIEGRA",,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,"C",0,2124607076,,,,,,,,,,,,
"108050","ABIELAS",,10.00,,4.00,,,,,,5.00,,,,,,,,,,,,,,1.00,,,,,0,1238482837,,,,,,,,,,,,
"108050","ABIES",,0.10,,0.10,,,,,,0.10,,,,,,,,,,,,,,,,,,,0,675187506,,,,,,,,,,,,
"108050","ACERGLA1",,,,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,0,-1769118773,,,,,,,,,,,,
"108050","ALNUALN",,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1170019152,,,,,,,,,,,,
"108050","ALNUALN2",,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1704346895,,,,,,,,,,,,
"108050","BUCKUND",,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,0,-372612514,,,,,,,,,,,,
"108050","CALAPUR",,,,,,,,,,,,,,,,,,,,,,15.00,5.00,,,,,"V",0,779337351,,,,,,,,,,,,
"108050","CALTLEP",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,0,1715849148,,,,,,,,,,,,
"108050","CARECOC",,,,,,,,,,,,,,,,,,,,,,15.00,,,,,,,0,-289995763,,,,,,,,,,,,
"108050","CASSMER",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,0,-435198902,,,,,,,,,,,,
