"Current code","New code"
"ABIELAS1","ABIELAS"
"ALNUVIR","ALNUALN"
"ALNUVIR2","ALNUALN2"
"ALNUVIR5","ALNUALN1"
"ARCTRUR","ARCTRBR"
"BLECSPI","STRUSPI"
"CALAPUR4","CALAPUR"
"CALTLEP1","CALTBIF"
"Cetrniv","FLAVNIV"
"CHAMNOO","XANTNOO"
"CONOCON","CONOSAL"
"CORNSTO","CORNSER"
"EPILANG","CHAMANG"
"FAURCRI","NEPHCRI"
"FRAGVIR3","FRAGVIR1"
"HUPEHAL","HUPECON"
"LISTBOR","NEOTBOR"
"LISTCAU","NEOTBAN"
"LISTCOR","NEOTCOR"
"LYCODEN","DENDDEN"
"Minurub","SABURUB"
"OXYCOXY","VACCOXY"
"PLAGUND","BUCKUND"
"Poa gla","POA_GLA"
"POA PAL","POA_PAL"
"RANULAP","COPTLAP"
"SINONEW","TEPHNEW"
"Tortrua","SYNTRUR"
"TRIEBOR1","LYSILAT"
