"LayerCode","Layer1234567","LayerCompact","Layer","LayerText","Strata","StrataNum","Lifeform"
"01","1","1","A1","1","A",1,"1 Or 2 Or 3 Or 4"
"02","2","2","A2","2","A",1,"1 Or 2 Or 3 Or 4"
"03","3","3","A3","3","A",1,"1 Or 2 Or 3 Or 4"
"04","4","4","B1","4","B",2,"1 Or 2 Or 3 Or 4"
"05","5","5","B2","5","B",2,"1 Or 2 Or 3 Or 4"
"06","6","6","C","6","C",3,"5 Or 6 Or 7 Or 8 Or 12"
"07","7","7","D","7","D",4,"9 Or 10 Or 11"
"08","8","8","Dr","8","D",4,
"09","9","9","Ep","9","D",4,
"10","10","10",,"10","D",4,
"11",,,,,,,
"12",,,,,,,
"13",,"B",,,"B",,
"00",,"A",,,"A",,
"05a","5a","5a","B2a","5a","B",2,"1 Or 2 Or 3 Or 4"
"05b","5b","5b","B2b","5b","B",2,"1 Or 2 Or 3 Or 4"
"05c","5c","5c","B2c","5c","B",2,"1 Or 2 Or 3 Or 4"
