"SpeciesNumber","Code","ScientificName","CodePlusStrata","CodePlusLayer","Temp"
1,,"ABIE_RKA","ABIE_RKA",,
2,,"ABIE_RKB","ABIE_RKB",,
3,,"Abies grandis A","ABIEGRAA",,
4,,"Abies amabilis A","ABIESPPA",,
5,,"Abies lasiocarpa B","ABIESPPB",,
6,,"Abies lasiocarpa D","ABIESPPD",,
7,,"Acer glabrum var. douglasii A","ACERGLAA",,
8,,"Achillea millefolium C","ACHIMILC",,
9,,"Aconitum delphiniifolium C","ACONDELC",,
10,,"Actaea rubra C","ACTARUBC",,
11,,"Alnus alnobetula A","ALNUALNA",,
12,,"Alnus alnobetula B","ALNUALNB",,
13,,"Alnus incana A","ALNUINCA",,
14,,"Alnus incana B","ALNUINCB",,
15,,"Amblystegium serpens var. juratzkanum D","AMBLSERD",,
16,,"Amelanchier alnifolia B","AMELALNB",,
17,,"Anemone multifida C","ANEMMULC",,
18,,"Anemone parviflora C","ANEMPARC",,
19,,"Anemonastrum richardsonii C","ANEMRICC",,
20,,"Angelica genuflexa C","ANGEGENC",,
21,,"Aralia nudicaulis C","ARALNUDC",,
22,,"Arctagrostis latifolia C","ARCTLATC",,
23,,"Arctous rubra C","ARCTRBRC",,
24,,"Arnica cordifolia C","ARNICORC",,
25,,"Arnica latifolia C","ARNILATC",,
26,,"Artemisia spp. C","ARTEMISC",,
27,,"Artemisia tilesii C","ARTETILC",,
28,,"Aster spp. C","ASTERC",,
29,,"Astragalus spp. C","ASTRAGAC",,
30,,"Astragalus alpinus C","AstralpC",,
31,,"Astragalus americanus C","ASTRAMEC",,
32,,"Athyrium filix-femina C","ATHYFILC",,
33,,"Aulacomnium palustre D","AULAPALD",,
34,,"Barbilophozia spp. D","BARBILOD",,
35,,"Barbilophozia lycopodioides D","BARBLYCD",,
36,,"Betula nana B","BETUNANB",,
37,,"Betula neoalaskana B","BETUNEOB",,
38,,"Betula occidentalis B","BETUOCCB",,
39,,"Betula papyrifera A","BETUPAPA",,
40,,"Betula papyrifera B","BETUPAPB",,
41,,"Bistorta vivipara C","BISTVIVC",,
42,,"Blepharostoma trichophyllum D","BLEPTRID",,
43,,"Brachythecium spp. D","BRACHYTD",,
44,,"Brachythecium oedipodium D","BRACOEDD",,
45,,"Brachythecium reflexum D","BRACREFD",,
46,,"Brachythecium salebrosum D","BRACSALD",,
47,,"Bryum spp. D","BRYUMD",,
48,,"Buckiella undulata D","BUCKUNDD",,
49,,"Calamagrostis canadensis C","CALACANC",,
50,,"Calamagrostis spp. C","CALAMAGC",,
51,,"Calamagrostis nutkaensis C","CALANUTC",,
52,,"Calamagrostis purpurascens C","CALAPURC",,
53,,"Calamagrostis stricta C","CALASTRC",,
54,,"Caltha biflora C","CALTBIFC",,
55,,"Caltha leptosepala C","CALTLEPC",,
56,,"CAMPCHYD","CAMPCHYD",,
57,,"Campylium hispidulum D","CAMPHIPD",,
58,,"Canadanthus modestus C","CANAMODC",,
59,,"Carex aquatilis C","CAREAQUC",,
60,,"Carex brunnescens C","CAREBRUC",,
61,,"Carex concinnoides C","CARECOCC",,
62,,"Carex concinna C","CARECOIC",,
63,,"Carex deweyana C","CAREDEWC",,
64,,"Carex disperma C","CAREDISC",,
65,,"Carex nigricans C","CARENIGC",,
66,,"Carex obnupta C","CAREOBNC",,
67,,"Carex stylosa C","CARESTYC",,
68,,"Carex trisperma C","CARETRSC",,
69,,"Carex spp. C","CAREXC",,
70,,"Cassiope spp. C","CASSIOPC",,
71,,"Cassiope mertensiana C","CASSMERC",,
72,,"Ceratodon purpureus D","CerapurD",,
73,,"Chamaenerion angustifolium C","CHAMANGC",,
74,,"Cicuta douglasii C","CICUDOUC",,
75,,"Cinclidium stygium D","CINCSTYD",,
76,,"Cinna latifolia C","CINNLATC",,
77,,"Circaea alpina C","CIRCALPC",,
78,,"Cladina arbuscula D","CladarbD",,
79,,"Cladonia bellidiflora D","CLADBELD",,
80,,"Cladonia carneola D","CLADCAND",,
81,,"Cladonia chlorophaea D","CLADCHLD",,
82,,"Cladonia deformis D","CLADDEFD",,
83,,"Cladonia fimbriata D","CLADFIMD",,
84,,"Cladonia gracilis D","CLADGRAD",,
85,,"Cladina spp. D","CLADINAD",,
86,,"Cladina mitis D","CLADMITD",,
87,,"Cladonia spp. B","CLADONIB",,
88,,"Cladonia spp. D","CLADONID",,
89,,"Cladonia pyxidata D","CLADPYXD",,
90,,"Cladina rangiferina D","CLADRAND",,
91,,"Cladonia uncialis D","CladuncD",,
92,,"Climacium dendroides D","CLIMDEND",,
93,,"Conocephalum salebrosum D","CONOSALD",,
94,,"Coptis aspleniifolia C","COPTASPC",,
95,,"Coptidium lapponicum C","COPTLAPC",,
96,,"Corallorhiza trifida C","CORATRIC",,
97,,"Cornus canadensis C","CORNCANC",,
98,,"Cornus sericea B","CORNSERB",,
99,,"Cypripedium spp. C","CYPRIPEC",,
100,,"Delphinium glaucum C","DELPGLAC",,
101,,"Dendrolycopodium dendroideum C","DENDDENC",,
102,,"Dicranum acutifolium D","DICRACUD",,
103,,"Dicranum spp. D","DICRANUD",,
104,,"Dicranum brevifolium D","DICRBRED",,
105,,"Dicranum fuscescens D","DICRFUSD",,
106,,"Dicranum pallidisetum D","DICRPAID",,
107,,"Dicranum polysetum D","DICRPOLD",,
108,,"Dicranum scoparium D","DICRSCOD",,
109,,"Distichium capillaceum D","DISTCAPD",,
110,,"Ditrichum heteromallum D","DITRHETD",,
111,,"Draba cinerea C","DrabcinC",,
112,,"Draba nivalis C","DrabnivC",,
113,,"Drepanocladus aduncus D","DREPADUD",,
114,,"Drepanocladus spp. D","DREPANOD",,
115,,"Dryas integrifolia C","DryaintC",,
116,,"Dryopteris expansa C","DRYOEXPC",,
117,,"Elymus alaskanus C","ELYMALAC",,
118,,"Elymus spp. C","ELYMUSC",,
119,,"Empetrum nigrum C","EMPENIGC",,
120,,"Epilobium ciliatum C","EPILCILC",,
121,,"Epilobium minutum C","EPILMINC",,
122,,"Epilobium spp. C","EPILSPPC",,
123,,"Equisetum arvense C","EQUIARVC",,
124,,"Equisetum pratense C","EQUIPRAC",,
125,,"Equisetum scirpoides C","EQUISCIC",,
126,,"Equisetum sylvaticum C","EQUISYLC",,
127,,"Eriophorum angustifolium C","ERIOANGC",,
128,,"Eurhynchium praelongum D","EURHPRAD",,
129,,"Eurhynchium pulchellum D","EURHPULD",,
130,,"Eurybia conspicua C","EURYCONC",,
131,,"Eurybia sibirica C","EURYSIBC",,
132,,"Flavocetraria nivalis D","FLAVNIVD",,
133,,"Fragaria virginiana C","FRAGVIRC",,
134,,"Galium boreale C","GALIBORC",,
135,,"Galium trifidum C","GALITRDC",,
136,,"Galium triflorum C","GALITRFC",,
137,,"Gaultheria humifusa C","GAULHUMC",,
138,,"Gaultheria shallon B","GAULSHAB",,
139,,"Gentiana douglasiana C","GENTDOUC",,
140,,"Gentiana prostrata C","GENTPRSC",,
141,,"Geocaulon lividum C","GEOCLIVC",,
142,,"Geranium richardsonii C","GERARICC",,
143,,"Geum macrophyllum C","GEUMMACC",,
144,,"Glyceria striata C","GLYCSTRC",,
145,,"Goodyera repens C","GOODREPC",,
146,,"Gymnocarpium dryopteris C","GYMNDRYC",,
147,,"Harrimanella stelleriana C","HARRSTEC",,
148,,"Hedysarum alpinum C","HEDYALPC",,
149,,"Heracleum maximum C","HERAMAXC",,
150,,"Huperzia continentalis C","HUPECONC",,
151,,"Hylocomium splendens D","HYLOSPLD",,
152,,"Hypnum lindbergii D","HYPNLIND",,
153,,"Hypnum pratense D","HYPNPRAD",,
154,,"Icmadophila ericetorum D","ICMAERID",,
155,,"Juniperus communis B","JUNICOMB",,
156,,"Kalmia microphylla C","KALMMICC",,
157,,"Larix laricina A","LARILARA",,
