"Order","Source","Label","Item","Report","FunctionName","FieldNumber"
1,"Env","Biogeoclimatic zone","Biogeoclimatic zone",0,"SVBioGeoClimaticZone",
2,"Env","Biogeoclimatic unit","Biogeoclimatic unit",0,"SVBioGeoClimaticUnit",
3,"Env","Elevation","Elevation",0,"SVElevation",
4,"Env","Aspect","Aspect",0,"SVAspect",
5,"Env","Slope Gradient","Slope Gradient",0,"SVSlope",
6,"Env","Meso Slope Position","Meso Slope Position",0,"SVMesoSlopePosition",
7,"Env","Moisture Regime","Moisture Regime",0,"SVSmr",
8,"Env","Nutrient Regime","Nutrient Regime",0,"SVSnr",
26,"Env","Site Disturbance 1","Site Disturbance 1",0,"SVSiteDisturbance","1"
27,"Env","Site Disturbance 2","Site Disturbance 2",0,"SVSiteDisturbance","2"
9,"Env","Exposure","Exposure",0,"SVExposure",
25,"Env","Micro Topography Type","Micro Topography Type",0,"SVSurfaceTopographyType",
28,"Env","Substrate Org. Matter","Substrate Org. Matter",0,"SVSubstrate","OrganicMatter"
29,"Env","Substrate Rocks","Substrate Rocks",0,"SVSubstrate","Rocks"
30,"Env","Substrate Dec. Wood","Substrate Dec. Wood",0,"SVSubstrate","DecWood"
31,"Env","Substrate Mineral Soil","Substrate Mineral Soil",0,"SVSubstrate","MineralSoil"
32,"Env","Substrate Bedrock","Substrate Bedrock",0,"SVSubstrate","BedRock"
33,"Env","Substrate Water","Substrate Water",0,"SVSubstrate","Water"
20,"Env","Hydro Geo System","Hydro Geo System",0,"SVHydroGeoSystem",
21,"Env","Hydro Geo Sub System","Hydro Geo Sub System",0,"SVHydroGeoSubSystem",
34,"Env","Stand Age","Stand Age",0,"SVStandAge",
35,"Env","Successional Status","Successional Status",0,"SVSuccessional",
36,"Env","Structure Stage","Structure Stage",0,"SVStructureStage",
12,"Env","Soil Class Great Group","Soil Class Great Group",0,"SVSoilClassGroup",
13,"Env","Soil Class Subgroup","Soil Class Subgroup",0,"SVSoilClassSubGroup",
16,"Env","Humus Form","Humus Form",0,"SVHumusForm",
17,"Env","Humus Depth","Humus Depth",0,"SVHumusDepth",
18,"Env","Soil Drainage","Soil Drainage",0,"SVSoilDrainage",
19,"Env","Seepage (cm)","Seepage (cm)",0,"SVSeepage",
10,"Env","Surficial Material","Surficial Material",0,"SVSurficialMaterialSurf",
11,"Env","Root Zone Particle Size","Root Zone Particle Size",0,"SVRootZonePartSize",
14,"Env","Rooting Depth","Rooting Depth",0,"SVRootingDepth",
15,"Env","Rooting Restricting Type","Rooting Restricting Type",0,"SVRootRestrictingType",
22,"Env","Bedrock Type 1","Bedrock Type 1",0,"SVBedrockType","1"
23,"Env","Bedrock Type 2","Bedrock Type 2",0,"SVBedrockType","2"
24,"Env","Bedrock Type 3","Bedrock Type 3",0,"SVBedrockType","3"
37,"Env","Tree Layer Cover","Tree Layer Cover",0,"SVStrataCover","Tree"
38,"Env","Shrub Layer Cover","Shrub Layer Cover",0,"SVStrataCover","Shrub"
39,"Env","Herb Layer Cover","Herb Layer Cover",0,"SVStrataCover","Herb"
40,"Env","Moss Layer Cover","Moss LayerCover",0,"SVStrataCover","Moss"
41,"Calc","Needleleaf Tree Cover","Lifeform 1",0,"SVLifeformCover","1"
42,"Calc","Broadleaf Tree Cover","Lifeform 2",0,"SVLifeformCover","2"
43,"Calc","Evergreen Shrub Cover","Lifeform 3",0,"SVLifeformCover","3"
44,"Calc","Deciduous Shrub Cover","Lifeform 4",0,"SVLifeformCover","4"
45,"Calc","Ferns and Allies Cover","Lifeform 5",0,"SVLifeformCover","5"
46,"Calc","Graminoid Cover","Lifeform 6",0,"SVLifeformCover","6"
47,"Calc","Forb Cover","Lifeform 7",0,"SVLifeformCover","7"
48,"Calc","Parasite/Saprophyte Cover","Lifeform 8",0,"SVLifeformCover","8"
49,"Calc","Moss Cover","Lifeform 9",0,"SVLifeformCover","9"
50,"Calc","Liverwort Cover","Lifeform 10",0,"SVLifeformCover","10"
51,"Calc","Lichen Cover","Lifeform 11",0,"SVLifeformCover","11"
52,"Calc","Dwarf Shrub Cover","Lifeform 12",0,"SVLifeformCover","12"
53,"Calc","Macroalgae Cover","Lifeform 13",0,"SVLifeformCover","13"
0,,"n Plots","n Plots",0,"SVnPlots",
