"User","InTime","OutTime","LocalMachine"
"puket",11/25/2021 16:21:38,11/25/2021 20:16:48,"I7C"
"puket",11/26/2021 7:50:38,11/26/2021 7:51:37,"I7C"
"puket",11/26/2021 7:51:42,11/26/2021 7:54:41,"I7C"
"puket",12/17/2021 8:42:28,12/17/2021 8:43:37,"I7C"
"puket",3/2/2021 8:48:29,3/2/2021 9:33:00,"I7C"
"puket",3/2/2021 10:53:06,3/2/2021 16:20:52,"I7C"
"puket",3/3/2021 7:47:25,3/3/2021 8:55:00,"I7C"
"puket",3/3/2021 8:57:29,3/3/2021 8:58:13,"I7C"
"puket",3/3/2021 9:13:37,3/3/2021 13:15:27,"I7C"
"puket",3/3/2021 13:17:44,3/3/2021 13:20:12,"I7C"
"puket",3/3/2021 13:21:25,3/3/2021 13:22:01,"I7C"
"puket",3/3/2021 13:23:17,3/3/2021 13:23:57,"I7C"
"puket",3/3/2021 13:28:26,3/3/2021 13:30:03,"I7C"
"puket",3/3/2021 13:30:37,3/3/2021 13:31:05,"I7C"
"puket",3/4/2021 6:12:05,3/4/2021 6:14:41,"I7C"
"puket",3/4/2021 6:25:17,3/4/2021 6:28:11,"I7C"
"puket",3/4/2021 7:44:36,3/4/2021 7:51:48,"I7C"
"puket",3/4/2021 8:30:28,3/4/2021 8:36:20,"I7C"
"puket",3/8/2021 7:08:49,3/8/2021 9:38:52,"I7C"
"puket",3/8/2021 11:05:36,3/8/2021 11:28:06,"I7C"
"puket",3/8/2021 11:28:19,3/8/2021 11:32:23,"I7C"
"puket",3/12/2021 9:19:02,3/12/2021 10:13:35,"I7C"
"puket",12/24/2019 6:58:37,12/24/2019 6:59:07,"I7C"
"puket",10/28/2019 8:55:18,10/28/2019 12:23:37,"I7C"
"puket",10/28/2019 12:23:44,10/28/2019 12:25:53,"I7C"
"puket",10/28/2019 12:26:01,10/28/2019 12:26:24,"I7C"
"puket",10/28/2019 12:26:29,10/28/2019 12:26:32,"I7C"
"puket",10/28/2019 12:26:37,10/28/2019 12:26:46,"I7C"
"puket",11/4/2019 7:03:56,11/4/2019 7:04:04,"I7C"
"puket",11/4/2019 7:04:08,11/4/2019 7:07:08,"I7C"
"puket",11/4/2019 7:07:16,11/4/2019 7:08:40,"I7C"
"puket",11/4/2019 7:08:46,11/4/2019 7:09:29,"I7C"
"puket",3/8/2019 7:10:31,3/8/2019 7:12:50,"I7C"
"puket",3/8/2019 12:02:58,3/8/2019 12:02:59,"I7C"
"puket",3/8/2019 12:11:28,3/8/2019 12:11:28,"I7C"
"puket",3/8/2019 12:12:29,3/8/2019 12:12:30,"I7C"
"puket",3/8/2019 13:19:26,3/8/2019 13:19:26,"I7C"
"puket",3/12/2019 6:25:20,3/12/2019 6:45:56,"I7C"
"puket",3/12/2019 7:16:22,3/12/2019 7:17:52,"I7C"
"puket",3/12/2019 8:31:17,3/12/2019 8:31:41,"I7C"
"puket",3/12/2019 8:31:59,3/12/2019 8:39:05,"I7C"
"puket",3/12/2019 8:41:59,3/12/2019 8:47:53,"I7C"
"puket",3/12/2019 8:49:19,3/12/2019 9:21:17,"I7C"
"puket",3/12/2019 9:22:40,3/12/2019 9:22:45,"I7C"
"puket",3/14/2019 6:40:32,3/14/2019 6:40:33,"I7C"
"puket",3/18/2019 9:51:44,3/18/2019 10:16:19,"I7C"
"puket",3/29/2019 9:53:00,3/29/2019 10:23:24,"I7C"
"puket",3/29/2019 13:53:07,3/29/2019 13:58:27,"I7C"
"puket",3/29/2019 14:11:59,3/29/2019 14:28:00,"I7C"
"puket",3/31/2019 15:49:40,3/31/2019 15:59:49,"I7C"
"puket",4/25/2019 6:35:57,4/25/2019 15:28:19,"I7C"
"puket",5/12/2019 6:43:55,5/12/2019 6:44:47,"I7C"
"puket",5/12/2019 6:44:52,5/12/2019 6:51:45,"I7C"
"puket",5/13/2019 8:58:49,5/13/2019 9:31:45,"I7C"
"puket",5/13/2019 9:33:14,5/13/2019 10:17:15,"I7C"
"puket",5/13/2019 10:50:01,5/13/2019 10:54:04,"I7C"
"puket",5/19/2019 9:48:27,5/19/2019 9:49:21,"I7C"
"puket",10/31/2018 7:33:51,10/31/2018 7:40:37,"I7C"
"puket",11/1/2018 7:37:39,11/1/2018 7:43:05,"I7C"
"puket",11/2/2018 10:01:02,11/2/2018 12:01:11,"I7C"
"puket",11/2/2018 12:02:39,11/2/2018 12:06:31,"I7C"
"puket",11/7/2018 7:23:49,11/7/2018 7:30:14,"I7C"
"puket",11/7/2018 7:41:51,11/7/2018 9:15:38,"I7C"
"puket",11/8/2018 9:01:49,11/8/2018 9:25:12,"I7C"
"puket",11/8/2018 9:35:35,11/8/2018 9:35:58,"I7C"
"puket",11/8/2018 11:04:51,11/8/2018 11:15:11,"I7C"
"puket",11/9/2018 6:15:46,11/9/2018 6:16:22,"I7C"
"puket",11/9/2018 6:17:00,11/9/2018 6:50:19,"I7C"
"puket",11/9/2018 6:50:47,11/9/2018 6:54:31,"I7C"
"puket",11/9/2018 6:54:39,11/9/2018 6:58:11,"I7C"
"puket",11/9/2018 6:58:25,11/9/2018 7:00:22,"I7C"
"puket",11/9/2018 7:00:38,11/9/2018 7:04:21,"I7C"
"puket",11/9/2018 7:04:47,11/9/2018 7:07:46,"I7C"
"puket",11/9/2018 7:08:01,11/9/2018 7:26:39,"I7C"
"puket",11/9/2018 7:27:14,11/9/2018 7:39:29,"I7C"
"puket",11/9/2018 7:39:46,11/9/2018 7:40:15,"I7C"
"puket",11/9/2018 7:42:14,11/9/2018 7:48:49,"I7C"
"puket",11/9/2018 7:49:36,11/9/2018 7:56:20,"I7C"
"puket",11/9/2018 7:56:33,11/9/2018 9:09:24,"I7C"
"puket",11/9/2018 9:09:44,11/9/2018 9:11:58,"I7C"
"puket",11/9/2018 9:12:20,11/9/2018 9:12:29,"I7C"
"puket",11/9/2018 9:12:50,11/9/2018 9:17:20,"I7C"
"puket",11/9/2018 9:17:37,11/9/2018 9:19:09,"I7C"
"puket",11/9/2018 9:19:24,11/9/2018 9:22:34,"I7C"
"puket",11/9/2018 9:22:54,11/9/2018 9:31:14,"I7C"
"puket",11/9/2018 9:31:31,11/9/2018 9:38:20,"I7C"
"puket",11/9/2018 9:38:28,11/9/2018 21:27:02,"I7C"
"puket",11/12/2018 8:25:43,11/12/2018 8:28:06,"I7C"
"puket",11/13/2018 6:04:10,11/13/2018 6:04:17,"I7C"
"puket",11/13/2018 6:19:50,11/13/2018 6:22:18,"I7C"
"puket",11/13/2018 6:22:31,11/13/2018 6:24:05,"I7C"
"puket",11/13/2018 6:24:15,11/13/2018 6:27:54,"I7C"
"puket",11/13/2018 6:29:56,11/13/2018 6:35:32,"I7C"
"puket",11/13/2018 6:41:28,11/13/2018 6:45:02,"I7C"
"puket",11/13/2018 6:45:21,11/13/2018 6:47:16,"I7C"
"puket",11/13/2018 6:51:44,11/13/2018 6:53:00,"I7C"
"puket",4/6/2018 11:05:09,4/6/2018 11:15:27,"I7C"
"puket",4/6/2018 11:15:48,4/6/2018 11:30:00,"I7C"
"puket",4/6/2018 11:30:29,4/6/2018 11:34:32,"I7C"
"puket",4/6/2018 11:34:43,4/6/2018 11:34:49,"I7C"
"Russell Klassen",2/5/2018 11:07:31,2/5/2018 11:09:05,"I7"
"Russell Klassen",2/7/2018 15:31:05,2/7/2018 15:58:34,"I7"
