"PlotNumber","MyLayer","Species","Cover"
"108050","A","ALNUALN",2.00
"108050","A","TSUGMER",35.00
"108050","A","ABIE_RK",3.00
"108050","A","XANTNOO",5.00
"108050","A","ALNUALN2",5.00
"108050","A","ABIEGRA",25.00
"108050","A","ABIES",0.20
"108050","A","ACERGLA1",1.00
"108050","A","PINUCON",5.00
"108050","A","ABIELAS",14.00
"108050","A","VACCALA",7.00
"108050","A","THUJPLI",10.00
"108050","A","SORBUS",8.00
"108050","A","ABIEAMA",5.00
"108050x","A","ABIECON",10.00
"108050x","A","ABIEAMA",5.00
"108050x","A","VACCALA",3.00
"108050x","A","SORBUS",8.00
"108050x","A","ABIEGRA",25.00
"108050x","A","ABIEBAL",10.00
"108050x","A","ALNUALN2",99.00
"108050x","A","THUJPLI",10.00
"108050x","A","TSUGMER",35.00
"108050x","A","ALNUALN1",99.00
"108050x","A","ABIELAS",10.00
"108050x","A","XANTNOO",5.00
"1976021","A","POPUBAL",0.50
"1976021","A","BETUPAP",5.00
"1976021","A","PICEGLA",25.00
"1976021","A","ABIELAS",3.00
"1976021","A","POPUTRE",0.50
"1976022","A","PICEGLA",26.00
"1976022","A","ABIELAS",1.00
"1976025","A","PICEGLA",60.00
"1976039","A","PICEGLA",36.00
"1976039","A","BETUPAP",8.00
"1976039","A","POPUTRE",8.00
"1976071","A","BETUPAP",2.00
"1976071","A","PICEGLA",26.00
"1976072","A","PICEGLA",18.00
"1976075","A","BETUPAP",8.00
"1976075","A","PICEGLA",16.00
"1976075","A","ALNUINC",1.00
"1976080","A","BETUPAP",8.00
"1976080","A","PICEGLA",26.00
"202050","A","THUJPLI",7.00
"202050","A","TSUGMER",10.00
"202050","A","ABIEMAG1",5.00
"202050","A","XANTNOO",7.00
"406250","A","POPUBAL",0.50
"406250","A","PICEGLA",0.50
"406250","A","PINUCON",15.00
"412150","A","PICEGLA",3.00
"412250","A","POPUTRE",2.00
"412250","A","PICEGLA",39.00
"412250","A","PICEMAR",50.00
"412350","A","PICEGLA",45.00
"412450","A","PICEGLA",50.00
"5760454","A","ABIELAS",20.00
"5760454","A","PICEENG",53.00
"5760454","A","ABIEAMA",15.00
"5760463","A","POPUTRE",53.00
"5760463","A","PICEENG",33.00
"5760808","A","LARILAR",3.00
"5760808","A","PICEENE",23.00
"5760808","A","PICEMAR",20.00
"8229723","A","ABIELAS",6.00
"8229723","A","PICEGLA",23.00
"8428935","A","PINUCON",1.00
"8428935","A","POPUBAL",5.00
"8428935","A","ABIEMAG1",30.00
"8428935","A","ABIELAS",90.00
"8428935","A","PICEENE",24.00
"8428942","A","PICEENE",23.00
"8428963","A","PICEGLA",22.00
"8428970","A","PICEENG",46.00
"8428970","A","ABIELAS",5.00
"8428970","A","PINUCON",0.10
"8428975","A","PICEENE",30.00
"8428975","A","ABIELAS",5.00
"8529415","A","PINUCON",3.00
"8529415","A","PICEGLA",18.00
"8529415","A","PICEMAR",4.00
"8529649","A","PICEGLA",25.00
"8529670","A","PICEGLA",25.00
"8529675","A","PICEENE",17.00
"8529676","A","POPUBAL",4.00
"8529676","A","PICEENE",54.00
"8630146","A","PICEGLA",37.00
"9003002","A","POPUBAL",3.00
"9003043","A","PICEENE",15.00
"9003043","A","ABIELAS",1.00
"9003104","A","PICEENE",18.00
"961167","A","POPUTRI",5.00
"961167","A","PICEGLA",8.00
"9611965","A","BETUPAP",50.00
"9611965","A","PICEGLA",4.00
"9611965","A","POPUTRE",5.00
"9611965","A","POPUBAL",5.00
"9611967","A","BETUPAP",5.00
"9611967","A","PICEENG",20.00
"9624781","A","PICEENE",9.00
"9624804","A","SALISCO",10.00
"9624804","A","POPUTRE",10.00
"9624804","A","POPUTRI",6.00
"9624804","A","PICEENE",15.00
"HLB056","A","PINUCON",0.50
"HLB056","A","XANTNOO",0.50
"HLB056","A","TSUGMER",2.00
"L153","A","PICEGLA",30.00
"L153","A","POPUBAL",10.00
"L153","A","BETUPAP",1.00
"L185","A","PICEGLA",40.00
"L185","A","POPUBAL",5.00
"MAHA05","A","TSUGMER",4.00
"MAHA05","A","XANTNOO",8.00
"MAHA05","A","TSUGHET",0.20
"QCIL6","A","TSUGHET",0.10
"QCIL6","A","TSUGMER",80.00
"QCIL6","A","XANTNOO",20.00
"QCIQ10","A","XANTNOO",0.20
"QCIQ10","A","TSUGMER",75.00
"QCIQ10","A","PICESIT",17.00
"QCIQ10","A","TSUGHET",10.00
"QCIQ14","A","TSUGHET",5.00
"QCIQ14","A","TSUGMER",30.00
"QCIQ14","A","XANTNOO",55.00
"QCIQ14","A","PICESIT",2.00
"R0126","A","PICEGLA",35.00
"R3027","A","PICEGLA",50.00
"R3039","A","PICEGLA",40.00
"108050","B","VACCPAR",15.00
"108050","B","PINUCON",5.00
"108050","B","ABIELAS",5.00
"108050","B","SORBUS",2.00
"108050","B","ABIES",0.10
"108050","B","VACCALA",15.00
"108050","B","ABIE_RK",12.00
"108050x","B","VACCOVL",15.00
"108050x","B","VACCALA",15.00
"108050x","B","SORBUS",2.00
"108050x","B","ABIELAS",5.00
"108050x","B","ABIEAMA",5.00
"1976021","B","ROSAACI",8.00
"1976021","B","BETUPAP",0.20
"1976021","B","SHEPCAN",2.00
"1976021","B","RIBETRI",4.00
"1976021","B","VIBUEDU",8.00
"1976021","B","ABIELAS",2.00
"1976021","B","ALNUINC",10.00
"1976021","B","SALIBEB",0.50
"1976021","B","RIBELAC",4.00
"1976021","B","POPUTRE",0.50
"1976021","B","PICEGLA",1.00
"1976021","B","POPUBAL",1.00
"1976022","B","ABIELAS",1.00
"1976022","B","ROSAACI",18.00
"1976022","B","VIBUEDU",0.50
"1976022","B","SALIBEB",1.00
"1976022","B","PICEGLA",0.50
"1976022","B","SALIPSE",0.50
"1976022","B","ALNUINC",20.00
"1976022","B","RIBETRI",0.50
"1976022","B","RIBEOXY",0.50
"1976025","B","RIBETRI",4.00
"1976025","B","VIBUEDU",18.00
"1976025","B","RIBELAC",0.50
"1976025","B","SALIBEB",0.20
"1976025","B","ROSAACI",8.00
"1976025","B","PICEGLA",0.50
"1976025","B","ALNUINC",4.70
"1976039","B","SHEPCAN",0.50
"1976039","B","ROSAACI",8.00
"1976039","B","CORNSER",8.00
"1976039","B","VIBUEDU",18.00
"1976039","B","RIBETRI",0.20
"1976039","B","BETUPAP",2.00
"1976039","B","RIBEOXY",0.50
"1976071","B","RIBEGLA",0.20
"1976071","B","PICEGLA",4.00
"1976071","B","ROSAACI",18.00
"1976071","B","RIBEOXY",8.00
"1976071","B","BETUPAP",2.00
"1976071","B","VIBUEDU",8.00
"1976071","B","CORNSER",4.00
"1976071","B","RUBUIDA",0.50
"1976071","B","BETUNEO",0.50
"1976071","B","ALNUINC",20.00
"1976072","B","VIBUEDU",2.00
"1976072","B","RIBELAC",0.50
"1976072","B","CORNSER",8.00
"1976072","B","ROSAACI",8.00
"1976072","B","RIBEOXY",2.00
"1976072","B","ALNUINC",8.00
"1976072","B","PICEGLA",2.00
"1976075","B","ALNUINC",18.00
"1976075","B","BETUPAP",4.00
"1976075","B","SALIBEB",0.50
"1976075","B","RIBEHUD",0.20
"1976075","B","CORNSER",8.00
"1976075","B","PICEGLA",4.00
"1976075","B","RIBEOXY",2.00
"1976075","B","ROSAACI",8.00
"1976075","B","VIBUEDU",18.00
"1976080","B","CORNSER",18.00
"1976080","B","RIBEOXY",4.00
"1976080","B","RUBUIDA",0.20
"1976080","B","AMELALN",0.20
"1976080","B","ALNUINC",8.00
"1976080","B","BETUPAP",4.00
"1976080","B","PICEGLA",8.00
"1976080","B","POPUBAL",2.00
"1976080","B","RIBETRI",2.00
"1976080","B","ROSAACI",18.00
"1976080","B","SALIBEB",4.00
"1976080","B","LONIDIO",0.50
"1976080","B","VIBUEDU",8.00
"406250","B","PICEGLA",5.00
"406250","B","RIBETRI",5.00
"406250","B","ROSAACI",20.00
"412150","B","ROSAACI",5.00
"412150","B","VIBUEDU",0.50
"412150","B","PICEGLA",0.50
"412150","B","LONIINV",5.00
"412250","B","RIBEHUD",10.00
"412250","B","PICEGLA",0.50
"412250","B","VIBUEDU",2.00
"412250","B","RIBELAC",0.50
"412250","B","PICEMAR",2.00
"412250","B","SALIBAC",1.00
"412250","B","SALIBEB",8.00
"412250","B","BETUNAN",4.00
"412250","B","SALIGLA",5.00
"412250","B","RHODGRO",18.00
"412250","B","SALIMYR",0.50
"412250","B","ROSAACI",15.00
"412350","B","ROSAACI",12.00
"412350","B","SALIBEB",0.10
"412350","B","PICEGLA",3.00
"412350","B","VIBUEDU",8.00
"412350","B","ALNUINC",15.00
"412350","B","RIBETRI",1.00
"412350","B","BETUPAP",0.10
"412450","B","PICEGLA",3.00
"412450","B","ROSAACI",12.00
"412450","B","SALIBEB",5.00
"412450","B","BETUPAP",0.10
"412450","B","ALNUINC",10.00
"412450","B","VIBUEDU",3.00
"5760454","B","VIBUEDU",5.00
"5760454","B","RIBELAC",1.00
"5760454","B","LONIINV",2.00
"5760454","B","ABIELAS",10.00
"5760454","B","POPUBAL",1.00
"5760454","B","ALNUALN",3.00
"5760454","B","ROSAACI",1.00
"5760463","B","RIBELAX",1.00
"5760463","B","RUBUIDA",5.00
"5760463","B","PICEENG",2.00
"5760463","B","LONIINV",1.00
"5760463","B","RIBELAC",2.00
"5760463","B","POPUTRE",4.00
"5760463","B","VIBUEDU",1.00
"5760463","B","ROSAACI",2.00
"5760808","B","RIBETRI",2.00
"5760808","B","RHODGRO",7.00
"5760808","B","RIBELAC",3.00
"5760808","B","LONIINV",5.00
"5760808","B","SALIPSE",2.00
"5760808","B","ALNUINC",10.00
"579279","B","VACCULI",4.00
"579279","B","TSUGMER",60.00
"8229723","B","RIBELAC",2.00
"8229723","B","VACCMEM",0.10
"8229723","B","LONIINV",1.00
"8229723","B","SALIBEB",2.00
"8229723","B","SALIX",0.50
