"Date","Change","Viewed"
10/1/2019 0:00:00,"New version of Vpro released as beta",0
10/2/2019 0:00:00,"Code to enable succession projects removed.  No one had used that code in over a decade.",0
10/7/2019 0:00:00,"Create the import functions from VPro 15 formats",0
10/15/2019 0:00:00,"Plot profiling changed to capture plots where a specified species is not present",0
10/16/2019 0:00:00,"Metadata collection standards updated",0
10/21/2019 0:00:00,"System References button added to the About form",0
10/21/2019 0:00:00,"Data form revisions take place from this date until the second coming",0
11/21/2019 0:00:00,"Code provisions in place to target reference locations for a specific server.",0
12/11/2019 0:00:00,"USysAllSpecs table updated",0
12/13/2019 0:00:00,"Updates to functions"" compare to template, Import VPro 13, Import VPro 15, Rename project, Delete project, Splinter, Merge, Export to VPro 13, Veg profiling",0
12/14/2019 0:00:00,"Removed the export to VENUS and Vpro 97",0
12/15/2019 0:00:00,"Removed the import Vpro XP",0
12/16/2019 0:00:00,"The drop down list for Project ID now shows the currently entered IDs rather than the set list of types.",0
12/16/2019 0:00:00,"Fix problem with Env Into SU tool",0
12/18/2019 0:00:00,"New USysAllSpecs",0
12/18/2019 0:00:00,"Updated project types for metadata project ID",0
12/18/2019 0:00:00,"The export plot locations now exports a negative longitude",0
12/20/2019 0:00:00,"Fixed a problem with the create site units from environmental fields function",0
12/22/2019 0:00:00,"A  new set of units and new table structure for the MasterSiteUnit list. It contains names for any correlated Site Series and should match to units that we put in the BEC Master unit field.  Added in an ID field and the Level field from the old structure (all the units the database attached will be 11). But no other info like parent, date, source, nplots, seral code, etc.",0
12/27/2019 0:00:00,"The changes to the MasterSiteUnit list triggered a firestorm of changes to Vpro.",0
12/30/2019 0:00:00,"Fixed problem of ENV into SU on the 2-page form",0
1/13/2020 0:00:00,"New USysAllSpecs",0
1/14/2020 0:00:00,"Changed the long/lat number type from single to double.",0
1/15/2020 0:00:00,"Fixed some code that didn't allow spaces in project names when merging two projects.",0
2/20/2020 0:00:00,"VPro now has the added ability to store the path of the current project.  It can use this path when it finds a discrepancy between the selected project and the underlying data.",0
2/26/2020 0:00:00,"Added an option to the data entry form for the user to make the form sizable with scrollbars.",0
2/27/2020 0:00:00,"Fixed a bug in the Su into Env function.  Vpro was asking for information on a field that had been renamed in the VPro 19 version.",0
3/11/2021 0:00:00,"Fixed project backup problem",0
3/12/2021 0:00:00,"Fixed problem where VPro sometimes forgot to add an Admin record when adding an Env record.  This change was made to all the FS882 forms.",0
6/30/2021 0:00:00,"Fixed a problem where a species code error was being reported when entering herb data into the data form.",0
10/18/2021 0:00:00,"Fixed a problem with data entry where VPro crashes when entering data in an order where the Admin data trys to save a duplicate plot number.",0
10/18/2021 0:00:00,"Updated Diagnostic xla code to corect a reporting error.",0
10/30/2021 0:00:00,"Forced longitude and latitude fields to be updated to decimal degrees when the second field loses focus.  The was a problem if the user moused out of the control.",0
10/31/2021 0:00:00,"For the stand age and height fields on the 2-page and SIVI forms, added an N/A to the 2-page form and a third unchecked state to the SIVI form.",0
11/22/2021 0:00:00,"Fixed a problem with the Save As function where it didn't save the Admin table.",0
12/17/2021 0:00:00,"Updated report template class modules to reference correct registry key.",0
1/21/2022 0:00:00,"Placed error trapping on modules/forms V7mdlSetCurrent, V7mdlAudit, and form module frmMainMenuFloat.  This error trapping in response to reported runtime error 2424.  Please let me know if you experience this error.",0
3/4/2022 0:00:00,"Fixed(?) a problem where VPro would freeze when the PlotNumber form field would lose focus when there wasn't a plot.  Weird.",0
3/7/2022 0:00:00,"Fixed error in summary report when using the constancy option",0
3/11/2022 0:00:00,"Trapped error when user tries to create a short veg report without a su table",0
3/30/2022 0:00:00,"There is now a ""BEC Use"" filter option in the short veg report",0
4/2/2022 0:00:00,"Updated the diagnostic xla file to correct errors in how it was saving user information.  Updated the short veg BEC Use option to use >= in the criteria.",0
4/12/2022 0:00:00,"Modified the SU tab on the short veg report to clearly show which plots were not included and the quality criteria involved in making that decision.",0
7/21/2022 0:00:00,"VPro now comes with an Excel xla diagnostic file that works with both 32 and 64-bit versions of Excel.",0
1/30/2023 0:00:00,"Fixed a problem that caused Vpro to slow down when entering/editing large veg data projects in the data forms.",0
2/23/2023 0:00:00,"Metadata project ID selection now has option of selecting from the master or the env table.  Other refinements on metadata management have been made.",0
2/23/2023 0:00:00,"A bug in the way VPro checked for the USysTableOfLists version has been fixed.",0
2/1/2023 0:00:00,"A new VLists database was created by Will",0
